Unnamed: 0,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
5550,Nigeria,From RDC,RDC,Air Charter,30,19836,395133,19,0.66,2164,11601, Nashik,7134
57,South Africa,Direct Drop,DDP,Air,240,342,1932,5,0.02,3622,9181,India,8074
1322,Zambia,From RDC,RDC,,60,79029,282133,3,0.06,7393,29412,India,6906
5841,Nigeria,From RDC,RDC,Air Charter,60,15000,168300,11,0.19,1972,5147,India,7633
5743,Côte d'Ivoire,From RDC,RDC,Truck,60,50700,391404,7,0.13,3622,9181, Nashik,8608
6457,Zambia,From RDC,RDC,Truck,60,14653,96709,6,0.11,1413,325,India,6906
292,Vietnam,Direct Drop,EXW,Air,60,15960,38304,2,0.04,755,5609,India,3157
1142,Zimbabwe,From RDC,RDC,Truck,30,6400,12800,2,0.07,570,4348,India,6980
2771,South Africa,Direct Drop,DDP,Ocean,30,100000,235000,2,0.08,5634,16819,India,8074
6466,Côte d'Ivoire,From RDC,RDC,Truck,30,2400,32376,13,0.45,213,422, Nashik,8608
1170,Zimbabwe,From RDC,RDC,Air,60,22240,164576,7,0.12,2262,6364,India,6980
5705,Zambia,From RDC,RDC,Truck,120,3599,73707,20,0.17,3622,9181, Nashik,6339
1419,Mozambique,From RDC,RDC,Air,60,17618,126849,7,0.12,3622,9181,India,6624
5692,Côte d'Ivoire,From RDC,RDC,Truck,60,4800,10704,2,0.04,216,3017,India,9091
5688,Zambia,From RDC,RDC,Truck,60,20000,77800,3,0.06,117,4900, Nashik,6339
6250,Nigeria,From RDC,RDC,Air Charter,60,11022,28436,2,0.04,3622,9181,India,7633
1086,Nigeria,From RDC,RDC,Air Charter,60,24,72,3,0.05,21,6329,India,7633
3483,South Africa,Direct Drop,DDP,Air,30,56970,266049,4,0.16,4822,4886,India,8074
1172,Côte d'Ivoire,From RDC,RDC,Air,240,6000,11820,1,0.01,3622,9181,India,9091
2273,Vietnam,Direct Drop,EXW,Air,60,9030,95718,10,0.18,1054,4726,India,3157
3480,South Africa,Direct Drop,DDP,Ocean,30,64260,289812,4,0.15,5623,-370,India,8074
3003,South Africa,Direct Drop,DDP,Truck,30,6,85,14,0.47,3622,9181,India,8074
2902,Rwanda,Direct Drop,CIP,Air,180,36,1800,50,0.28,3622,9181, Haarlem,6478
5030,Mozambique,From RDC,RDC,Truck,60,164250,1409265,8,0.14,19164,13509,India,6624
4101,Côte d'Ivoire,From RDC,RDC,Air,240,616,9018,14,0.06,3622,9181,India,9091
3499,South Africa,Direct Drop,DDP,Ocean,30,47963,206240,4,0.14,3789,8582,India,8074
2080,Haiti,Direct Drop,CIP,Air,60,400,22200,55,0.92,3622,9181, Haarlem,7467
1615,Zambia,From RDC,RDC,,60,43470,155187,3,0.06,4398,17137,India,6906
4874,Nigeria,From RDC,RDC,Air Charter,30,87744,370279,4,0.14,7194,11601, Nashik,7134
613,Haiti,From RDC,RDC,Air,240,9187,19292,2,0.01,3435,39301,India,14446
5224,Nigeria,From RDC,RDC,Air Charter,60,53109,595882,11,0.19,19464,12398,India,7633
4522,Zimbabwe,From RDC,RDC,Truck,60,4952,16341,3,0.06,3622,9181,India,6980
5816,Haiti,From RDC,RDC,Air,30,6576,31236,4,0.16,3622,9181,India,14446
4689,Côte d'Ivoire,From RDC,RDC,Truck,60,4200,16338,3,0.06,180,965,India,9091
5852,Tanzania,From RDC,RDC,Truck,60,110000,283800,2,0.04,12543,979,India,5659
505,South Africa,Direct Drop,DDP,Air,30,400,8692,21,0.72,3622,9181, Port Elizabeth,573
415,Haiti,Direct Drop,CIP,Air,100,54,18900,350,3.5,3622,9181,Thailand,16167
272,Zimbabwe,Direct Drop,CIP,Air,60,54,513,9,0.16,3622,9181,France,7729
2981,South Africa,Direct Drop,DDP,Truck,60,3,93,31,0.52,3622,9181,India,8074
4306,Côte d'Ivoire,From RDC,RDC,Truck,120,3524,87254,24,0.21,3264,13368, Nashik,8608
6210,Haiti,From RDC,RDC,Air,60,26400,70224,2,0.04,1456,24493,India,14446
4141,Uganda,From RDC,RDC,Air,60,5000,56000,11,0.19,690,4410, Nashik,4961
5425,Côte d'Ivoire,From RDC,RDC,Truck,60,137,697,5,0.08,2014,6726,India,9091
5988,Côte d'Ivoire,From RDC,RDC,Air,30,1781,8584,4,0.16,99,113, Nashik,8608
106,Vietnam,Direct Drop,EXW,Air,60,18030,26143,1,0.02,1114,4822,India,3157
1344,Zimbabwe,From RDC,RDC,Truck,60,1560,14820,9,0.16,147,671,India,6980
1869,Mozambique,Direct Drop,FCA,Air,60,120,822,6,0.11,22,-172,Germany,8163
1617,Rwanda,From RDC,RDC,Air,60,38463,383860,9,0.17,3450,19896,India,5921
1520,Tanzania,From RDC,RDC,Air,60,122590,1158475,9,0.16,3622,9181,India,5659
1803,South Africa,Direct Drop,DDP,Air,240,28000,280560,10,0.04,3622,9181,Canada,15035
952,Zambia,From RDC,RDC,Truck,60,40000,350400,8,0.15,3626,3997,India,6906
2164,Uganda,Direct Drop,FCA,Air,60,2565,15236,5,0.1,304,1808,Germany,5868
2187,South Africa,Direct Drop,DDP,Truck,60,12,216,18,0.3,3622,9181,India,8074
2948,Vietnam,Direct Drop,FCA,Air,120,9000,547200,60,0.51,2235,4134,Germany,9157
2364,Vietnam,Direct Drop,EXW,Air,60,5600,13160,2,0.04,3622,9181,India,3157
6169,Haiti,From RDC,RDC,Air,30,1528,3422,2,0.07,3622,9181,India,14446
6159,Côte d'Ivoire,From RDC,RDC,Air,240,2000,3800,1,0.01,688,211,India,9091
5021,Nigeria,From RDC,RDC,Air Charter,60,67334,577725,8,0.14,8716,25340,India,7633
2754,South Africa,Direct Drop,DDP,Air,60,10000,172800,17,0.29,1087,1531,India,8074
1024,Nigeria,From RDC,RDC,Air,60,6002,20406,3,0.06,3622,9181,India,7633
4012,Zambia,From RDC,RDC,Truck,60,6350,35433,5,0.09,320,300,India,6906
2210,South Africa,Direct Drop,DDP,Ocean,60,150000,373500,2,0.04,7670,7256,India,8074
5671,Zambia,From RDC,RDC,Truck,60,5410,70113,12,0.22,3622,9181,India,6906
416,Vietnam,Direct Drop,FCA,Air,120,1080,88776,82,0.68,259,1985,Germany,9157
4354,Rwanda,From RDC,RDC,Truck,240,2216,4121,1,0.01,1412,3609,India,5921
5314,Côte d'Ivoire,From RDC,RDC,Truck,30,7640,27809,3,0.12,3622,9181,India,9091
5153,Nigeria,From RDC,RDC,Air Charter,60,488,4274,8,0.15,39,8736, Nashik,7134
564,Zambia,From RDC,RDC,,30,3690,10147,2,0.09,226,370,India,6906
478,Vietnam,Direct Drop,FCA,Air,120,1480,121656,82,0.68,370,1652,Germany,9157
2077,South Africa,Direct Drop,DDP,Truck,60,84,5795,68,1.15,3622,9181,India,8074
4728,Zambia,From RDC,RDC,Truck,120,312,6149,19,0.16,80,-913, Nashik,6339
1203,Nigeria,From RDC,RDC,Air,60,9180,67932,7,0.12,3622,9181,India,7633
4790,Nigeria,From RDC,RDC,Air Charter,60,28000,317800,11,0.19,3239,10637,India,7633
142,South Africa,Direct Drop,DDP,Truck,60,320,1475,4,0.08,3622,9181,France,8670
2166,South Africa,Direct Drop,DDP,Truck,30,100,2733,27,0.91,3622,9181, Port Elizabeth,573
3968,Zimbabwe,From RDC,RDC,Truck,60,15120,129729,8,0.14,23677,8405,India,6980
1550,Nigeria,From RDC,RDC,Air,30,15000,393750,26,0.88,1309,6463, Port Elizabeth,5168
3129,Zimbabwe,Direct Drop,EXW,Air Charter,60,85000,188700,2,0.04,11125,83791,India,6980
605,Mozambique,From RDC,RDC,Air,60,125000,900000,7,0.12,9228,2671,India,6624
1194,Haiti,From RDC,RDC,Air,120,240,9864,41,0.34,52,422,Germany,7877
5447,Zimbabwe,From RDC,RDC,Truck,60,9262,18431,1,0.03,3622,9181,India,6980
3211,South Africa,Direct Drop,DDP,Ocean,30,136980,589014,4,0.14,10832,9283,India,8074
1730,Nigeria,From RDC,RDC,Air Charter,180,400,20000,50,0.28,89,6329, Haarlem,4754
3203,Vietnam,Direct Drop,FCA,Air,120,7078,430483,60,0.51,1724,4248,Germany,9157
497,South Africa,Direct Drop,DDP,Air,60,24150,59892,2,0.04,3622,9181,India,8074
5229,Zimbabwe,From RDC,RDC,Truck,240,1191,16197,13,0.06,445,1143,India,6980
1729,Uganda,From RDC,RDC,Air,60,3895,27732,7,0.12,289,1798,India,5524
3973,Haiti,From RDC,RDC,Air,30,39936,132986,3,0.11,16035,160712,India,14446
2960,South Africa,Direct Drop,DDP,Truck,90,77,1608,20,0.23,3622,9181,India,8074
3265,Haiti,Direct Drop,EXW,Air,120,740,27750,37,0.31,183,1418,India,14446
721,Tanzania,From RDC,RDC,,120,2580,106038,41,0.34,559,2562,Germany,6837
3589,South Africa,Direct Drop,DDP,Truck,30,4,78,19,0.66,3622,9181,India,8074
1025,Uganda,From RDC,RDC,Air,30,300,600,2,0.07,3622,9181,India,5524
1916,South Africa,Direct Drop,DDP,Truck,30,11,332,30,1.01,3622,9181,India,8074
1295,Zambia,From RDC,RDC,Truck,30,4000,24880,6,0.21,1900,3997,India,6906
3184,Uganda,Direct Drop,EXW,Air,30,111348,355200,3,0.11,6953,29711,India,5524
2347,South Africa,Direct Drop,DDP,Truck,240,17,91,5,0.02,3622,9181,India,8074
2929,South Africa,Direct Drop,DDP,Truck,60,10,164,16,0.27,3622,9181,France,8670
1514,Haiti,From RDC,RDC,Air,180,70,1187,16,0.09,30,-67, Haarlem,7467
3971,Zimbabwe,From RDC,RDC,Truck,60,28220,64906,2,0.04,3622,9181,India,6980
4434,Uganda,From RDC,RDC,Air,60,250,610,2,0.04,113,2504,India,5524
5227,Uganda,From RDC,RDC,Truck,30,2011,13212,6,0.22,126,661, Nashik,4961
1302,Nigeria,From RDC,RDC,,240,1200,2580,2,0.01,3622,9181,India,7633
108,South Africa,Direct Drop,DDP,Truck,200,12,150,12,0.06,3622,9181,France,8670
1351,Haiti,From RDC,RDC,Air,60,1057,3593,3,0.06,100,651,India,14446
5805,Haiti,From RDC,RDC,Air,30,68,152,2,0.07,3622,9181,India,14446
3639,South Africa,Direct Drop,DDP,Ocean,30,22920,54778,2,0.08,1291,3429,India,8074
5085,Côte d'Ivoire,From RDC,RDC,Truck,60,5,32,6,0.11,1683,5443,India,9091
2299,Côte d'Ivoire,Direct Drop,FCA,Air,120,4809,162063,33,0.28,1196,16068,Germany,5008
931,Zambia,From RDC,RDC,Truck,30,107180,857440,8,0.27,7995,9181, Nashik,6339
336,Vietnam,Direct Drop,EXW,Air,30,19000,323000,17,0.57,1520,18044,India,3157
5687,Côte d'Ivoire,From RDC,RDC,Truck,240,2000,4200,2,0.01,3622,9181,India,9091
5186,Côte d'Ivoire,From RDC,RDC,Air,90,1785,17974,10,0.11,168,6816,India,9091
1662,Côte d'Ivoire,From RDC,RDC,Air,60,5836,160665,27,0.46,3622,9181,India,9091
5751,Nigeria,From RDC,RDC,Air Charter,60,14648,80564,5,0.09,1023,1244,India,7633
5576,"Congo, DRC",From RDC,RDC,Air,120,9,303,33,0.28,3622,9181,India,6583
2892,South Africa,Direct Drop,DDP,Truck,240,26,493,19,0.08,3622,9181,India,8074
1919,Côte d'Ivoire,Direct Drop,FCA,Air,120,7320,264691,36,0.3,1838,12562,Germany,5008
3346,Côte d'Ivoire,Direct Drop,EXW,Air,30,1984,15038,7,0.25,46,899,India,9091
2570,South Africa,Direct Drop,DDP,Truck,240,143,3866,27,0.11,3622,9181,India,8074
3076,South Africa,Direct Drop,DDP,Truck,30,3,8,3,0.1,3622,9181,India,8074
724,Nigeria,From RDC,RDC,Air,180,20,1000,50,0.28,1024,4226, Haarlem,4754
765,Zimbabwe,From RDC,RDC,Truck,60,76000,562400,7,0.12,8848,36040,India,6980
286,Vietnam,Direct Drop,EXW,Air,60,3024,27972,9,0.15,703,9356,India,3157
3194,Haiti,Direct Drop,EXW,Ocean,240,2040,3080,1,0.01,3622,9181,India,14446
4084,Côte d'Ivoire,From RDC,RDC,Truck,30,1134,14912,13,0.44,121,76, Nashik,8608
307,Rwanda,Direct Drop,EXW,Air,30,3912,88020,22,0.75,1320,14022,India,5921
3404,Haiti,Direct Drop,EXW,Ocean,60,1152,4147,3,0.06,3622,9181, Nashik,14325
2569,Haiti,Direct Drop,CIP,Air,180,180,3052,16,0.09,3622,9181, Haarlem,7467
5049,Tanzania,From RDC,RDC,Air,100,43293,56280,1,0.01,3622,9181,India,5659
2157,South Africa,Direct Drop,DDP,Truck,60,62,1448,23,0.39,3622,9181,India,8074
2415,Rwanda,Direct Drop,EXW,Air,30,4011,72198,18,0.6,3622,9181,India,5921
6217,Côte d'Ivoire,From RDC,RDC,Air,30,1200,27600,23,0.77,108,4121, Nashik,8608
6465,Mozambique,From RDC,RDC,Truck,30,19492,210123,10,0.36,3622,9181, Nashik,6074
5894,Côte d'Ivoire,From RDC,RDC,Air,240,3500,6825,1,0.01,1313,4597,India,9091
4550,Mozambique,From RDC,RDC,Truck,240,13994,27288,1,0.01,5269,3480,India,6624
5501,Haiti,From RDC,RDC,Air,90,1176,11842,10,0.11,3622,9181,India,14446
184,South Africa,Direct Drop,DDP,Truck,60,1200,5772,4,0.08,3622,9181,France,8670
71,Vietnam,Direct Drop,CIP,Air,60,2800,19600,7,0.12,555,2292,France,9916
4416,Nigeria,From RDC,RDC,Air Charter,30,2666,15409,5,0.19,2889,20641,India,7633
711,Zambia,From RDC,RDC,,30,50061,976189,19,0.65,3946,13199, Nashik,6339
421,Nigeria,Direct Drop,CIP,Air,30,2000,100800,50,1.68,169,-76, Haarlem,4754
1020,Tanzania,From RDC,RDC,,30,49997,620962,12,0.41,4345,13637,India,5659
4102,Haiti,From RDC,RDC,Air,240,96,1405,14,0.06,54,576,India,14446
1755,Vietnam,Direct Drop,EXW,Air,60,11092,74871,6,0.11,957,869, Nashik,3641
3166,Uganda,Direct Drop,FCA,Air,60,625,4281,6,0.11,86,-914,Germany,5868
737,Nigeria,From RDC,RDC,Air,60,760,7182,9,0.16,199,917,India,7633
5129,Haiti,From RDC,RDC,Air,240,288,3916,13,0.06,3622,9181,India,14446
3454,Vietnam,Direct Drop,EXW,Air,60,50000,117500,2,0.04,2351,9122,India,3157
4745,Mozambique,From RDC,RDC,Truck,60,2173,24685,11,0.19,4076,3834, Nashik,6074
3841,Côte d'Ivoire,From RDC,RDC,Air,30,859,5643,6,0.22,12232,59010,India,9091
2881,South Africa,Direct Drop,DDP,Truck,30,230,959,4,0.14,3622,9181,India,8074
3621,South Africa,Direct Drop,DDP,Truck,90,57,1483,26,0.29,3622,9181,India,8074
6029,Zimbabwe,From RDC,RDC,Truck,60,14217,59000,4,0.07,3622,9181, Nashik,6420
6191,Nigeria,From RDC,RDC,Air Charter,60,61,87,1,0.02,4,9181,India,7633
5480,Uganda,From RDC,RDC,Air,30,26697,136955,5,0.17,3622,9181,India,5524
3626,South Africa,Direct Drop,DDP,Truck,30,560,10506,18,0.63,3622,9181,India,8074
1210,Zimbabwe,From RDC,RDC,Air,30,1860,23101,12,0.41,3622,9181,India,6980
5441,Côte d'Ivoire,From RDC,RDC,Truck,60,36971,241050,6,0.11,3622,9181, Nashik,8608
1095,Zambia,From RDC,RDC,Truck,60,40126,285697,7,0.12,4414,3506,India,6906
3985,Uganda,From RDC,RDC,Truck,60,475,1092,2,0.04,1982,7163,India,5524
5216,Zimbabwe,From RDC,RDC,Truck,60,22074,122731,5,0.09,3622,9181,India,6980
3459,Zimbabwe,Direct Drop,EXW,Air,30,8000,180000,22,0.75,2460,12380,India,6980
6478,Uganda,From RDC,RDC,Truck,60,273,982,3,0.06,3622,9181,India,5524
4329,Côte d'Ivoire,From RDC,RDC,Truck,120,15119,305706,20,0.17,7541,26875,Germany,5008
978,Zimbabwe,From RDC,RDC,,30,3200,52032,16,0.54,280,300,India,6980
5428,Uganda,From RDC,RDC,Truck,30,45000,485100,10,0.36,5083,5948, Nashik,4961
5975,Côte d'Ivoire,From RDC,RDC,Truck,30,8640,129945,15,0.5,972,3754, Nashik,8608
1578,Nigeria,From RDC,RDC,Air Charter,60,10000,93500,9,0.16,905,14128,India,7633
5525,Zambia,From RDC,RDC,Air,60,56054,327915,5,0.1,15140,15249,India,6906
487,Vietnam,Direct Drop,EXW,Air,60,6966,16718,2,0.04,3622,9181,India,3157
6267,Uganda,From RDC,RDC,Air,60,972,2507,2,0.04,58,4596,India,5524
5715,Mozambique,From RDC,RDC,Truck,120,12800,241920,18,0.16,2844,3853,Germany,8163
344,Vietnam,Direct Drop,FCA,Air,120,1000,82190,82,0.68,226,4294,Germany,9157
2586,Haiti,Direct Drop,EXW,Air,30,75000,768000,10,0.34,9057,54886, Nashik,14325
3541,South Africa,Direct Drop,DDP,Truck,30,2146,6526,3,0.1,3622,9181,India,8074
911,Haiti,From RDC,RDC,Air,90,210,3204,15,0.17,3622,9181,India,14446
1041,Rwanda,From RDC,RDC,Air,60,15000,131400,8,0.15,1364,20215,India,5921
47,Haiti,Direct Drop,CIP,Air,200,32,402,12,0.06,3622,9181,France,7294
5560,Côte d'Ivoire,From RDC,RDC,Air,60,23147,259709,11,0.19,3622,9181,India,9091
5622,Côte d'Ivoire,From RDC,RDC,Truck,30,2528,27808,11,0.37,740,3754,India,9091
1350,Zimbabwe,From RDC,RDC,Air,60,37240,275576,7,0.12,3622,9181,India,6980
443,South Africa,Direct Drop,DDP,Air,60,1200,6012,5,0.08,3622,9181,South Africa,0
3340,Zambia,Direct Drop,CIP,Air,120,22000,816200,37,0.31,4959,1173,Germany,7464
1061,Uganda,From RDC,RDC,Air,60,1511,10879,7,0.12,205,1202,India,5524
1451,Tanzania,From RDC,RDC,Truck,60,9243,235234,25,0.42,936,1233,India,5659
4778,Zimbabwe,From RDC,RDC,Truck,30,4000,23120,5,0.19,3622,9181,India,6980
2942,South Africa,Direct Drop,DDP,Truck,240,446,10825,24,0.1,3622,9181,India,8074
5767,Côte d'Ivoire,From RDC,RDC,Truck,60,148037,1142845,7,0.13,3622,9181,India,9091
2549,Vietnam,Direct Drop,FCA,Air,30,128,2977,23,0.78,1232,1769,Germany,9157
5954,Uganda,From RDC,RDC,Truck,60,3275,33699,10,0.17,3622,9181,India,5524
6388,"Congo, DRC",From RDC,RDC,Air,60,3960,16434,4,0.07,3622,9181, Nashik,6020
3802,Zimbabwe,From RDC,RDC,Truck,60,5800,19024,3,0.05,12791,2833,India,6980
4586,Tanzania,From RDC,RDC,Truck,60,15855,39478,2,0.04,1380,3553,India,5659
2691,Vietnam,Direct Drop,EXW,Air,60,9744,14128,1,0.02,656,5158,India,3157
1055,Uganda,From RDC,RDC,Air,60,5919,69844,11,0.2,3622,9181,India,5524
848,Zambia,From RDC,RDC,,90,2324,37184,16,0.18,3622,9181,India,6906
3218,Vietnam,Direct Drop,EXW,Air,60,14663,118770,8,0.13,3622,9181, Nashik,3641
4938,Zambia,From RDC,RDC,Truck,60,13127,32948,2,0.04,1252,5079,India,6906
2229,South Africa,Direct Drop,DDP,Truck,30,10000,173493,17,0.58,3622,9181,India,8074
3914,Uganda,From RDC,RDC,Truck,120,6899,204762,29,0.25,1859,9611,India,5524
1294,Nigeria,From RDC,RDC,Air Charter,60,52920,603288,11,0.19,5960,8341,India,7633
6321,Zambia,From RDC,RDC,Truck,240,40126,78245,1,0.01,12360,10292,India,6906
6244,Zambia,From RDC,RDC,Truck,60,40900,134152,3,0.05,3127,7109,India,6906
3237,South Africa,Direct Drop,DDP,Truck,90,60,1561,26,0.29,3622,9181,India,8074
6068,Côte d'Ivoire,From RDC,RDC,Truck,30,5173,24313,4,0.16,3622,9181,India,9091
4633,Nigeria,From RDC,RDC,Air,60,187168,1444936,7,0.13,18234,50090,India,7633
4629,Uganda,From RDC,RDC,Air,30,4938,17974,3,0.12,430,1154,India,5524
