,0
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
12,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.36427028285327945
  (0, 2)	-0.415182618075997
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
13,"  (0, 0)	-0.22679080041325675
  (0, 1)	1.8486045979223549
  (0, 2)	1.8264576417907605
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.28892721823627
  (0, 5)	1.5399537063887963
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
14,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4730751540686056
  (0, 2)	-0.42745770231565183
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.28892721823627
  (0, 5)	-0.690047305086019
  (0, 6)	-0.14750985061881458
  (0, 18)	4.3212117576229225
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
15,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.49716262555795965
  (0, 2)	-0.4109712562164979
  (0, 3)	3.391833764056148
  (0, 4)	1.74639740388792
  (0, 5)	-0.6964099225318662
  (0, 6)	-1.2959495303569826
  (0, 15)	3.339872017081845
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 34)	7.482350085235563"
16,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4429951896721439
  (0, 2)	-0.4044705704346874
  (0, 3)	-0.2280299846826724
  (0, 4)	0.04473255588244962
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.4775853679080117
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
17,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.38321126043417636
  (0, 2)	-0.39064625734048897
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.4891230827075019
  (0, 5)	-0.17679616445434354
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
18,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.44800068374749263
  (0, 2)	-0.4371894001470452
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.14750985061881458
  (0, 18)	4.3212117576229225
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
19,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.459257170423981
  (0, 2)	-0.43866682873382035
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.6640184155348258
  (0, 6)	-0.28420143403131465
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
20,"  (0, 0)	2.164456214062103
  (0, 1)	-0.4589751707577642
  (0, 2)	-0.4440269948776156
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.5741705449358924
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
21,"  (0, 0)	2.164456214062103
  (0, 1)	-0.3203253348678237
  (0, 2)	-0.41257571604624804
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
22,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.5006171214691157
  (0, 2)	-0.4542033020594217
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5558550375312458
  (0, 5)	-0.7031581531562496
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
23,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4824751429424999
  (0, 2)	-0.39539059811073124
  (0, 3)	0.6006135240647683
  (0, 4)	2.2135210876541276
  (0, 5)	-0.0051983000057367924
  (0, 6)	-2.607574386921871
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 34)	7.482350085235563"
24,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.35000579973714485
  (0, 2)	-0.31048125837694784
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.32229319564814196
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.4295693927939208
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
25,"  (0, 0)	2.164456214062103
  (0, 1)	-0.5009931210240716
  (0, 2)	-0.4542033020594217
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.6559529697668617
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
26,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4638631649721892
  (0, 2)	-0.4191205866082237
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.32229319564814196
  (0, 5)	-0.6713450659270135
  (0, 6)	-0.5541289147588078
  (0, 12)	4.963728285804211
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
27,"  (0, 0)	-0.22679080041325675
  (0, 1)	3.0814836386501425
  (0, 2)	2.913695958024179
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.32229319564814196
  (0, 5)	4.714899811866557
  (0, 6)	-0.3936314937857038
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
28,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.7679113770629158
  (0, 2)	0.5105050956782748
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.021999398941294282
  (0, 5)	0.0017427372079147163
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 29)	4.537951372605795
  (0, 40)	2.103542762656433"
29,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.10302109207557297
  (0, 2)	-0.34121177298187
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.32641407772638714
  (0, 6)	-0.3936314937857038
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
30,"  (0, 0)	-0.6253319694924834
  (0, 1)	3.091400626912101
  (0, 2)	5.616561807194521
  (0, 3)	0.0772597290663847
  (0, 4)	0.8455160137673768
  (0, 5)	2.6179353469867293
  (0, 6)	-0.8728199659733445
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
31,"  (0, 0)	2.164456214062103
  (0, 1)	-0.41705122038019576
  (0, 2)	-0.4353640164164689
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.0051983000057367924
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
32,"  (0, 0)	-0.22679080041325675
  (0, 1)	3.133395077206224
  (0, 2)	4.337823892176206
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	3.2179494527890484
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
33,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.5008521211909631
  (0, 2)	-0.4543027178147935
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.3890251504718859
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
34,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.4830156423027488
  (0, 2)	-0.41052388531732487
  (0, 3)	0.3389366265655765
  (0, 4)	-0.18882928600065407
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.5161163676862306
  (0, 7)	5.735178911963309
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
35,"  (0, 0)	0.30459742502571213
  (0, 1)	-0.48647013821390495
  (0, 2)	-0.444916213578441
  (0, 3)	-0.315255617182403
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.6942890500499171
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
36,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4679286601601485
  (0, 2)	-0.436833160356963
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.4891230827075019
  (0, 5)	-0.6898544984967508
  (0, 6)	-0.5541289147588078
  (0, 12)	4.963728285804211
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
37,"  (0, 0)	2.164456214062103
  (0, 1)	-0.46602516241318487
  (0, 2)	-0.4457667705966218
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.5926799775056297
  (0, 6)	-0.5541289147588078
  (0, 12)	4.963728285804211
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
38,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.014825696466259993
  (0, 2)	0.17148080056793394
  (0, 3)	-0.0971915359330765
  (0, 4)	0.44512428482491323
  (0, 5)	-0.35745593859855085
  (0, 6)	-0.7714531737798052
  (0, 12)	4.963728285804211
  (0, 19)	2.04362447656144
  (0, 21)	5.7001710839938475
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
39,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.30208935645246887
  (0, 2)	0.12508678139443535
  (0, 3)	0.5133878915650377
  (0, 4)	-0.055365376353166275
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
40,"  (0, 0)	2.164456214062103
  (0, 1)	-0.4869871376019691
  (0, 2)	-0.43347787861316533
  (0, 3)	-0.009965903433345894
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.6605478969280001
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
41,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.004344708871867883
  (0, 2)	-0.21504489476879682
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.28892721823627
  (0, 5)	-0.452702393696991
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
42,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.5973955788904737
  (0, 2)	0.010322338012753549
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5558550375312458
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.14750985061881458
  (0, 18)	4.3212117576229225
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
43,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.44031619284308404
  (0, 2)	-0.4286783068677165
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5558550375312458
  (0, 5)	-0.6590054442138553
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
44,"  (0, 0)	0.30459742502571213
  (0, 1)	-0.4482591834415247
  (0, 2)	-0.4248121386032583
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.670381032980673
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
45,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.3566092919210556
  (0, 2)	-0.26508691985468774
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.28420143403131465
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
46,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.16576601780881722
  (0, 2)	-0.0818857750945749
  (0, 3)	-0.1408043521829418
  (0, 4)	-0.22219526341252607
  (0, 5)	-0.31156797035274364
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
47,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.49845512402812014
  (0, 2)	-0.447962201861082
  (0, 3)	0.2953238103157112
  (0, 4)	0.3450263525892974
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
48,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.4996301226373569
  (0, 2)	-0.44948657677678266
  (0, 3)	0.557000707814903
  (0, 4)	-0.055365376353166275
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6177326374180188
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 39)	4.472436630062954"
49,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4860001387702102
  (0, 2)	-0.41630380687268986
  (0, 3)	0.3825494428154418
  (0, 4)	1.612933494240432
  (0, 5)	-0.0051983000057367924
  (0, 6)	-2.607574386921871
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 34)	7.482350085235563"
50,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.8969262243571146
  (0, 2)	-0.08313399513424283
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.6547277767084567
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
51,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.19530548284502997
  (0, 2)	-0.40233037014543377
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.6893189471787337
  (0, 5)	-0.5375372929749539
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
52,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.2977653615704775
  (0, 2)	-0.3162390875422303
  (0, 3)	-0.315255617182403
  (0, 4)	-0.12209733117691018
  (0, 5)	-0.5604812770978574
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
53,"  (0, 0)	-0.6253319694924834
  (0, 1)	1.3569851798176849
  (0, 2)	1.5043064096060195
  (0, 3)	-0.1844171684328071
  (0, 4)	0.2449284203536814
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.3936314937857038
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
54,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.6737234885464952
  (0, 2)	0.7633773541126851
  (0, 3)	-0.1844171684328071
  (0, 4)	0.21156244294180943
  (0, 5)	0.16447149855018897
  (0, 6)	-0.08837922183924993
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 33)	2.46416498527817"
55,"  (0, 0)	2.164456214062103
  (0, 1)	-0.43434719990816123
  (0, 2)	-0.4391307689255553
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.4980119421749939
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
56,"  (0, 0)	0.1717503686659699
  (0, 1)	-0.5001706219976059
  (0, 2)	-0.4520990019040523
  (0, 3)	0.2517109940658459
  (0, 4)	-0.08873135376503818
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
57,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.47166515573752144
  (0, 2)	-0.3761757418363739
  (0, 3)	0.42616225906530714
  (0, 4)	1.74639740388792
  (0, 5)	-0.6800213624440778
  (0, 6)	0.4775853679080117
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
58,"  (0, 0)	-0.22679080041325675
  (0, 1)	1.6137223759359218
  (0, 2)	1.464258429483753
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.32229319564814196
  (0, 5)	1.3423269523889962
  (0, 6)	0.4775853679080117
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
59,"  (0, 0)	2.164456214062103
  (0, 1)	-0.4907471331515268
  (0, 2)	-0.43751802444952415
  (0, 3)	0.03364691281651941
  (0, 4)	-0.5558550375312458
  (0, 5)	-0.48470828751549516
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
60,"  (0, 0)	2.164456214062103
  (0, 1)	-0.4893606347926274
  (0, 2)	-0.4518780780032261
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.6678745473201878
  (0, 6)	-0.5541289147588078
  (0, 12)	4.963728285804211
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
61,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.08857418114657696
  (0, 2)	0.30799796353471387
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.15546330858878218
  (0, 5)	-0.20706679896943483
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
62,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.3212239057754601
  (0, 2)	0.22211379708853493
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.355659173060014
  (0, 5)	1.779226683670505
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
63,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.47561315106455704
  (0, 2)	-0.4477109009238922
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5224890601193738
  (0, 5)	-0.3979453223448513
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
64,"  (0, 0)	-0.6253319694924834
  (0, 1)	1.8487220977832786
  (0, 2)	3.3260946036964163
  (0, 3)	0.03364691281651941
  (0, 4)	0.778784058943633
  (0, 5)	1.3097426388026878
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
65,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.42233871412176127
  (0, 2)	-0.21097161034731404
  (0, 3)	0.6006135240647683
  (0, 4)	2.180155110242256
  (0, 5)	-0.6457017895543565
  (0, 6)	-0.8432546515835623
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 34)	7.482350085235563"
66,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.41637529315145483
  (0, 2)	0.049124859644112395
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.22219526341252607
  (0, 5)	0.0038636096898637885
  (0, 6)	0.27254799278926156
