country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
Vietnam,Direct Drop,EXW,Air,60,25100,276100,11,0.18,2575,17772,India,3157
Nigeria,From RDC,RDC,Air Charter,60,35000,245000,7,0.12,12877,19666,India,7633
Haiti,From RDC,RDC,Air,30,1092,2446,2,0.07,1585,5811,India,14446
Zambia,From RDC,RDC,Truck,30,100000,1369000,13,0.46,10442,10520,India,6906
Nigeria,From RDC,RDC,Air,30,3359,88173,26,0.88,300,1204, Port Elizabeth,5168
South Africa,Direct Drop,DDP,Air,30,39049,182358,4,0.16,3669,3263,India,8074
Côte d'Ivoire,From RDC,RDC,Air,60,1681,4589,2,0.05,164,1976,India,9091
Zimbabwe,From RDC,RDC,Truck,60,6180,24411,3,0.07,3622,9181,India,6980
Mozambique,From RDC,RDC,Air,30,24140,48280,2,0.07,1434,2682,India,6624
Nigeria,From RDC,RDC,Air Charter,30,100000,1115000,11,0.37,3622,9181, Nashik,7134
South Africa,Direct Drop,DDP,Truck,30,121,1671,13,0.46,3622,9181, Nashik,7527
Rwanda,Direct Drop,EXW,Air,30,924,1755,1,0.06,45,411,India,5921
Tanzania,Direct Drop,EXW,Air,60,1065,27785,26,0.43,112,122,India,5659
Nigeria,From RDC,RDC,Air Charter,60,6398,14459,2,0.04,394,25340,India,7633
South Africa,Direct Drop,DDP,Truck,30,100,4669,46,1.56,3622,9181, Port Elizabeth,573
Vietnam,Direct Drop,EXW,Air,60,15211,120927,7,0.13,3622,9181,India,3157
Tanzania,From RDC,RDC,Truck,30,20240,531300,26,0.88,3622,9181, Port Elizabeth,3213
South Africa,Direct Drop,DDP,Air,60,33972,85949,2,0.04,1823,791,India,8074
Nigeria,From RDC,RDC,Air Charter,60,306,2359,7,0.13,3622,9181,India,7633
Côte d'Ivoire,From RDC,RDC,Truck,30,9767,52351,5,0.18,852,2026,India,9091
Nigeria,From RDC,RDC,Air,60,2027,8716,4,0.07,218,941,India,7633
Nigeria,From RDC,RDC,Air,60,45,315,7,0.12,3622,9181,India,7633
Zimbabwe,From RDC,RDC,Truck,240,595,5063,8,0.04,236,6300,India,6980
Côte d'Ivoire,From RDC,RDC,Air,60,940,3290,3,0.06,49,211,India,9091
Zambia,From RDC,RDC,Air,90,3436,58240,16,0.19,395,848,India,6906
Zimbabwe,From RDC,RDC,Truck,240,80,1000,12,0.05,29,-412,India,6980
Côte d'Ivoire,From RDC,RDC,Truck,30,25644,340295,13,0.44,3622,9181, Nashik,8608
Côte d'Ivoire,From RDC,RDC,Truck,30,11520,103334,8,0.3,3622,9181,India,9091
Nigeria,From RDC,RDC,Air,60,5721,30492,5,0.09,3622,9181,India,7633
Nigeria,From RDC,RDC,Air,60,248,793,3,0.05,24,547,India,7633
Mozambique,From RDC,RDC,Truck,60,1400,3052,2,0.04,4355,2644,India,6624
Rwanda,Direct Drop,EXW,Air,30,6180,101970,16,0.55,2130,16331,India,5921
Côte d'Ivoire,From RDC,RDC,Air,60,12000,32760,2,0.05,733,4121,India,9091
Côte d'Ivoire,From RDC,RDC,Air,60,21542,84013,3,0.06,1583,5381, Nashik,8608
South Africa,Direct Drop,DDP,Truck,30,71,235,3,0.11,3622,9181,India,8074
South Africa,Direct Drop,DDP,Air,30,3500,49840,14,0.47,3622,9181,India,8074
South Africa,Direct Drop,DDP,Ocean,30,82500,565950,6,0.23,5624,6378,India,8074
Nigeria,From RDC,RDC,Air Charter,60,9627,21757,2,0.04,486,13547,India,7633
Rwanda,Direct Drop,CIP,Air,30,48259,567043,11,0.39,4143,18088,India,5921
Haiti,From RDC,RDC,Air,30,688,1541,2,0.07,465,5036,India,14446
Vietnam,Direct Drop,EXW,Air,60,18406,202466,11,0.18,2571,12880, Nashik,3641
South Africa,Direct Drop,DDP,Truck,90,75,1952,26,0.29,3622,9181,India,8074
Zambia,From RDC,RDC,Truck,60,9984,22563,2,0.04,3622,9181,India,6906
South Africa,Direct Drop,DDP,Ocean,90,17357,173222,9,0.11,2301,3573,India,8074
Nigeria,From RDC,RDC,Air Charter,30,22826,228260,10,0.33,2500,8736, Nashik,7134
South Africa,Direct Drop,DDP,Truck,60,115,1249,10,0.18,3622,9181,South Africa,0
South Africa,Direct Drop,DDP,Truck,30,30,445,14,0.5,3622,9181, Nashik,7527
South Africa,Direct Drop,DDP,Truck,240,91,2074,22,0.1,3622,9181,Canada,15035
Côte d'Ivoire,From RDC,RDC,Truck,60,3765,56475,15,0.25,303,11102,India,9091
Vietnam,Direct Drop,EXW,Air,60,24000,264000,11,0.18,2769,9546,India,3157
Nigeria,From RDC,RDC,Air,60,2339,21869,9,0.16,3622,9181, Nashik,7134
Nigeria,From RDC,RDC,Air,60,229,2445,10,0.18,3622,9181,India,7633
Haiti,From RDC,RDC,Air,60,168,252,1,0.02,3622,9181,India,14446
Zambia,From RDC,RDC,Truck,60,7548,110427,14,0.24,13472,10292, Nashik,6339
Zimbabwe,From RDC,RDC,Truck,60,9732,72016,7,0.12,911,1705,India,6980
South Africa,Direct Drop,DDP,Truck,60,40,3199,79,1.33,3622,9181, Haarlem,9211
South Africa,Direct Drop,DDP,Ocean,60,120,1791,14,0.25,12,-840,India,8074
Côte d'Ivoire,From RDC,RDC,Truck,100,4000,5200,1,0.01,3622,9181,India,9091
Nigeria,From RDC,RDC,Air,30,188,864,4,0.15,16,9181,India,7633
Nigeria,From RDC,RDC,Air Charter,60,63,153,2,0.04,3622,9181,India,7633
Uganda,From RDC,RDC,Air,30,1795,47118,26,0.88,160,1590, Port Elizabeth,3989
Zimbabwe,From RDC,RDC,Air,60,22,162,7,0.12,3622,9181,India,6980
Zambia,From RDC,RDC,Truck,60,60000,432000,7,0.12,12606,6053,India,6906
Zimbabwe,From RDC,RDC,Truck,60,4000,16000,4,0.07,3622,9181,India,6980
South Africa,Direct Drop,DDP,Air,60,1977,23091,11,0.19,3622,9181,India,8074
Tanzania,From RDC,RDC,Truck,30,10267,58932,5,0.19,816,2623, Nashik,5091
Zimbabwe,From RDC,RDC,Truck,60,4952,16341,3,0.06,3622,9181,India,6980
Vietnam,Direct Drop,EXW,Air,60,40400,248460,6,0.1,3919,11704,India,3157
South Africa,Direct Drop,DDP,Air,30,34560,161395,4,0.16,3240,3263,India,8074
Uganda,From RDC,RDC,Air,30,1717,21325,12,0.41,3622,9181,India,5524
Haiti,Direct Drop,EXW,Air,60,3192,6703,2,0.04,157,1010, Nashik,14325
Côte d'Ivoire,Direct Drop,FCA,Air,60,780,5343,6,0.11,102,743,Germany,5008
Nigeria,From RDC,RDC,Air,60,1666,5664,3,0.06,3622,9181,India,7633
Vietnam,Direct Drop,EXW,Air,60,9800,63602,6,0.11,2235,2708, Nashik,3641
Vietnam,Direct Drop,EXW,Air,30,11500,132135,11,0.38,1295,1021, Nashik,3641
Nigeria,From RDC,RDC,Air Charter,60,586,4395,7,0.12,30,9181, Nashik,7134
Nigeria,From RDC,RDC,Air Charter,60,2000,11120,5,0.09,209,11601,India,7633
Zambia,From RDC,RDC,Truck,30,135158,583882,4,0.14,17285,20454,India,6906
Haiti,From RDC,RDC,Air,60,1980,25660,12,0.22,3622,9181,India,14446
Haiti,Direct Drop,EXW,Air,100,60,21000,350,3.5,144,3185,Thailand,16167
Haiti,From RDC,RDC,Air,60,14995,141702,9,0.16,1586,16289,India,14446
Nigeria,Direct Drop,EXW,Air,540,34,1547,45,0.08,159,976,Switzerland,4123
Rwanda,From RDC,RDC,Truck,30,119370,1297551,10,0.36,13429,12380, Nashik,5355
Côte d'Ivoire,From RDC,RDC,Truck,120,17600,469920,26,0.22,3622,9181, Nashik,8608
South Africa,Direct Drop,DDP,Ocean,30,116857,777099,6,0.22,10907,6905,India,8074
Côte d'Ivoire,From RDC,RDC,Air,240,2867,6020,2,0.01,5752,17607,India,9091
Mozambique,From RDC,RDC,Truck,60,2268,5284,2,0.04,109,148,India,6624
Nigeria,Direct Drop,CIP,Air,30,9,453,50,1.68,3622,9181, Haarlem,4754
Côte d'Ivoire,From RDC,RDC,Air,30,5547,94299,17,0.57,333,793, Nashik,8608
South Africa,Direct Drop,DDP,Truck,30,10,234,23,0.78,3622,9181,India,8074
Uganda,Direct Drop,CIP,Air,180,75,3750,50,0.28,19,-565, Haarlem,6190
Tanzania,Direct Drop,CIP,Air,30,1000,23670,23,0.79,335,-112,France,6771
Haiti,From RDC,RDC,Air,60,822,1561,1,0.03,107,779,India,14446
Nigeria,From RDC,RDC,Air Charter,60,15299,40695,2,0.04,1792,8736,India,7633
Uganda,From RDC,RDC,Air,60,19650,223027,11,0.19,2237,14250,India,5524
South Africa,Direct Drop,DDP,Truck,30,60,1096,18,0.61,3622,9181,France,8670
Côte d'Ivoire,From RDC,RDC,Air,60,18507,158234,8,0.14,3622,9181,India,9091
South Africa,Direct Drop,DDP,Ocean,30,92000,216200,2,0.08,5184,8592,India,8074
Côte d'Ivoire,Direct Drop,FCA,Air,120,9517,320722,33,0.28,2368,16068,Germany,5008
Uganda,From RDC,RDC,Truck,60,3262,8187,2,0.04,190,95,India,5524
Rwanda,From RDC,RDC,Truck,90,1016,9448,9,0.1,367,2783,India,5921
Zambia,From RDC,RDC,Truck,30,107175,762014,7,0.24,8709,6317, Nashik,6339
Côte d'Ivoire,From RDC,RDC,Air,60,7511,25537,3,0.06,3622,9181,India,9091
Vietnam,Direct Drop,EXW,Air,60,5964,51350,8,0.14,3622,9181,India,3157
Côte d'Ivoire,From RDC,RDC,Air,240,475,912,1,0.01,170,301,India,9091
Zimbabwe,From RDC,RDC,Truck,60,112100,608703,5,0.09,3622,9181,India,6980
Mozambique,From RDC,RDC,Air,60,92950,669240,7,0.12,6883,6534,India,6624
Mozambique,From RDC,RDC,Truck,60,3068,7976,2,0.04,150,-882,India,6624
South Africa,Direct Drop,DDP,Truck,30,1300,20410,15,0.52,3622,9181,India,8074
Uganda,From RDC,RDC,Truck,90,6312,34716,5,0.06,3622,9181,India,5524
Mozambique,From RDC,RDC,Truck,60,149997,1471470,9,0.16,17605,5323,India,6624
Nigeria,From RDC,RDC,Air Charter,90,10743,78423,7,0.08,748,19761,India,7633
Vietnam,Direct Drop,EXW,Air,60,11092,74871,6,0.11,957,869, Nashik,3641
South Africa,Direct Drop,DDP,Ocean,240,50000,103000,2,0.01,18417,10534,India,8074
South Africa,Direct Drop,DDP,Truck,30,11,240,21,0.73,3622,9181,India,8074
Mozambique,Direct Drop,EXW,Air,60,18025,52633,2,0.05,1139,3683,India,6624
Côte d'Ivoire,From RDC,RDC,Air,240,616,9018,14,0.06,3622,9181,India,9091
Nigeria,From RDC,RDC,Air Charter,30,7000,92890,13,0.44,858,15532, Nashik,7134
Nigeria,From RDC,RDC,Air,30,32696,858270,26,0.88,2873,6363, Port Elizabeth,5168
South Africa,Direct Drop,DDP,Ocean,240,11640,24676,2,0.01,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,60,337,1357,4,0.07,3622,9181,India,8074
Uganda,From RDC,RDC,Truck,60,18518,144070,7,0.13,3622,9181, Nashik,4961
Uganda,From RDC,RDC,Truck,60,3354,37631,11,0.19,393,694,India,5524
South Africa,Direct Drop,DDP,Truck,30,2,53,26,0.89,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,30,230,959,4,0.14,3622,9181,India,8074
Uganda,From RDC,RDC,Truck,30,13000,126880,9,0.33,3622,9181, Nashik,4961
Nigeria,From RDC,RDC,Air Charter,60,177285,1368640,7,0.13,41904,83944, Nashik,7134
Zambia,From RDC,RDC,Truck,90,680,10376,15,0.17,3622,9181,India,6906
Rwanda,From RDC,RDC,Air,60,1267,4193,3,0.06,3622,9181,India,5921
South Africa,Direct Drop,DDP,Truck,30,20,66,3,0.11,3622,9181,India,8074
Côte d'Ivoire,From RDC,RDC,Truck,30,20000,92600,4,0.15,2000,7499,India,9091
Nigeria,From RDC,RDC,Air Charter,30,26798,448330,16,0.56,3203,24231, Nashik,7134
Mozambique,From RDC,RDC,Truck,30,19400,188568,9,0.32,3622,9181, Nashik,6074
Nigeria,From RDC,RDC,Air Charter,60,79235,198879,2,0.04,3622,9181,India,7633
Mozambique,From RDC,RDC,Truck,60,7977,90618,11,0.19,3622,9181,India,6624
Tanzania,From RDC,RDC,Truck,240,2374,4629,1,0.01,888,3417,India,5659
Tanzania,From RDC,RDC,Truck,30,153642,2310775,15,0.5,3622,9181, Nashik,5091
"Congo, DRC",From RDC,RDC,Air,60,761,1719,2,0.04,3622,9181,India,6583
Zimbabwe,From RDC,RDC,Truck,60,135933,564121,4,0.07,3622,9181, Nashik,6420
South Africa,Direct Drop,DDP,Truck,30,3,42,14,0.47,3622,9181,India,8074
Zimbabwe,From RDC,RDC,Truck,90,3969,17542,4,0.05,561,-749,India,6980
Zambia,From RDC,RDC,Truck,60,4000,7960,1,0.03,3622,9181,India,6906
Zimbabwe,From RDC,RDC,Truck,60,12080,23556,1,0.03,10314,11867,India,6980
Haiti,Direct Drop,EXW,Air,30,5000,100000,20,0.67,670,3909, Nashik,14325
South Africa,Direct Drop,DDP,Ocean,90,25000,204250,8,0.09,3313,4192,India,8074
South Africa,Direct Drop,DDP,Truck,60,76,1487,19,0.33,3622,9181,India,8074
Côte d'Ivoire,From RDC,RDC,Air,60,80010,897712,11,0.19,9402,32266,India,9091
Rwanda,From RDC,RDC,Truck,60,8600,57878,6,0.11,770,8828,India,5921
Vietnam,Direct Drop,EXW,Air,60,3881,15524,4,0.07,3622,9181,India,3157
South Africa,Direct Drop,DDP,Truck,30,273,6169,22,0.75,3622,9181,India,8074
Vietnam,Direct Drop,EXW,Air,30,19152,124488,6,0.22,1503,10884, Nashik,3641
South Africa,Direct Drop,DDP,Ocean,30,51382,332441,6,0.22,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,30,1,15,15,0.51,3622,9181,India,8074
South Africa,Direct Drop,DDP,Air,30,57600,268992,4,0.16,4872,4886,India,8074
South Africa,Direct Drop,DDP,Ocean,30,76615,509489,6,0.22,3622,9181,India,8074
South Africa,Direct Drop,DDP,Air,240,12000,120240,10,0.04,3622,11474,Canada,15035
Nigeria,From RDC,RDC,Air Charter,60,1033,1601,1,0.03,3622,9181,India,7633
Mozambique,From RDC,RDC,Truck,120,14480,285400,19,0.16,7039,4192,India,6624
Haiti,Direct Drop,CIP,Air,120,120,7992,66,0.55,26,-760,Puerto Rico,627
Rwanda,Direct Drop,FCA,Air,60,110,753,6,0.11,43,46,Germany,6174
South Africa,Direct Drop,DDP,Ocean,240,14065,29817,2,0.01,6196,220,India,8074
Côte d'Ivoire,From RDC,RDC,Truck,30,20076,84720,4,0.14,1223,2526,India,9091
South Africa,Direct Drop,DDP,Ocean,60,356876,867208,2,0.04,16391,19258,India,8074
"Congo, DRC",From RDC,RDC,Air,60,4670,30448,6,0.11,3622,9181, Nashik,6020
Nigeria,From RDC,RDC,Air,60,367,3486,9,0.16,447,1230,India,7633
Mozambique,From RDC,RDC,Truck,30,8662,84194,9,0.32,3622,9181, Nashik,6074
Côte d'Ivoire,From RDC,RDC,Air,30,7426,34902,4,0.16,753,3063,India,9091
South Africa,Direct Drop,DDP,Ocean,240,27910,59169,2,0.01,10346,2961,India,8074
Vietnam,Direct Drop,EXW,Air,60,7000,94500,13,0.22,3622,9181,India,3157
Zimbabwe,From RDC,RDC,Air,30,627,7787,12,0.41,3622,9181,India,6980
South Africa,Direct Drop,DDP,Truck,30,4,44,11,0.37,3622,9181,India,8074
"Congo, DRC",From RDC,RDC,Air,60,680,7480,11,0.18,3622,9181, Nashik,6020
Nigeria,From RDC,RDC,Air,30,873,22916,26,0.88,76,5443, Port Elizabeth,5168
Uganda,From RDC,RDC,Truck,30,804,3875,4,0.16,3622,9181, Nashik,4961
South Africa,Direct Drop,DDP,Air,60,10260,39193,3,0.06,3622,9181,France,8670
Nigeria,From RDC,RDC,Air,30,25000,300250,12,0.4,6124,12353,India,7633
Mozambique,From RDC,RDC,Truck,60,81270,451861,5,0.09,8491,9605,India,6624
South Africa,Direct Drop,DDP,Truck,60,200,1213,6,0.1,3622,9181,France,8670
Côte d'Ivoire,From RDC,RDC,Air,60,21360,83304,3,0.06,1567,20821, Nashik,8608
Côte d'Ivoire,From RDC,RDC,Air,240,3872,7085,1,0.01,1438,4121,India,9091
"Congo, DRC",From RDC,RDC,Air,60,54,248,4,0.08,3622,9181,India,6583
Zimbabwe,From RDC,RDC,Truck,60,10963,26530,2,0.04,3622,9181,India,6980
Côte d'Ivoire,From RDC,RDC,Air,60,13325,39975,3,0.05,3622,9181,India,9091
Uganda,From RDC,RDC,Truck,30,2559,22570,8,0.29,338,2397, Nashik,4961
South Africa,Direct Drop,DDP,Truck,120,33,844,25,0.21,3622,9181, Latina,7877
Vietnam,Direct Drop,EXW,Air,240,1000,1920,1,0.01,941,3193,India,3157
Haiti,From RDC,RDC,Air,60,15825,45892,2,0.05,3622,9181,India,14446
Côte d'Ivoire,From RDC,RDC,Air,30,8676,50147,5,0.19,4845,4254,India,9091
Nigeria,From RDC,RDC,Air Charter,30,139303,714624,5,0.17,11982,9181,India,7633
Nigeria,From RDC,RDC,Air,60,138508,1332446,9,0.16,3622,9181, Nashik,7134
Haiti,From RDC,RDC,Air,60,7380,21475,2,0.05,3622,9181,India,14446
Rwanda,From RDC,RDC,Truck,30,97619,452952,4,0.15,9905,4445,India,5921
Côte d'Ivoire,From RDC,RDC,Air,60,3968,61504,15,0.26,842,7815,India,9091
Uganda,From RDC,RDC,Truck,30,21709,102032,4,0.16,1713,4591, Nashik,4961
Côte d'Ivoire,Direct Drop,CIP,Air,180,5196,88124,16,0.09,1489,1093, Haarlem,5009
Mozambique,From RDC,RDC,Air,90,560,8545,15,0.17,3622,9181,India,6624
Zambia,From RDC,RDC,Truck,30,56386,232310,4,0.14,3622,9181,India,6906
Nigeria,From RDC,RDC,Air Charter,60,326131,3587441,11,0.18,46522,26441, Nashik,7134
Nigeria,From RDC,RDC,Air Charter,60,180000,1765800,9,0.16,23096,20347,India,7633
Tanzania,Direct Drop,EXW,Air,60,80516,652179,8,0.13,11646,49445,India,5659
Nigeria,From RDC,RDC,Air Charter,60,50,375,7,0.12,3,9181, Nashik,7134
Côte d'Ivoire,From RDC,RDC,Air,60,160058,1795850,11,0.19,26409,59432, Nashik,8608
Uganda,From RDC,RDC,Truck,60,2596,6048,2,0.04,125,831,India,5524
South Africa,Direct Drop,DDP,Truck,30,55,1833,33,1.11,3622,9181,India,8074
"Congo, DRC",From RDC,RDC,Air,240,140,956,6,0.03,139,-27,India,6583
Mozambique,From RDC,RDC,Air,180,1428,71400,50,0.28,2955,3551, Haarlem,8465
Vietnam,Direct Drop,CIP,Air,60,80,560,7,0.12,3622,9181,France,9916
South Africa,Direct Drop,DDP,Ocean,60,70030,513319,7,0.12,3534,16919,India,8074
Rwanda,Direct Drop,EXW,Air,30,3000,60000,20,0.67,405,2484, Nashik,5355
South Africa,Direct Drop,DDP,Air,60,26540,197192,7,0.12,1431,3885,India,8074
South Africa,Direct Drop,DDP,Truck,60,1,50,50,0.84,3622,9181, Latina,7877
Uganda,From RDC,RDC,Air,60,17000,190740,11,0.19,2156,13467, Nashik,4961
Uganda,From RDC,RDC,Truck,60,35000,385000,11,0.18,3622,9181, Nashik,4961
South Africa,Direct Drop,DDP,Truck,60,259,7677,29,0.49,3622,9181,India,8074
Rwanda,From RDC,RDC,Air,60,306,651,2,0.04,3622,9181,India,5921
Nigeria,From RDC,RDC,Air,30,2067,54258,26,0.88,235,1922, Port Elizabeth,5168
South Africa,Direct Drop,DDP,Air,30,64738,506251,7,0.26,4457,2646,India,8074
Uganda,From RDC,RDC,Air,30,7051,98431,13,0.47,3622,9181, Nashik,4961
Côte d'Ivoire,From RDC,RDC,Truck,30,1980,44550,22,0.75,3622,9181, Nashik,8608
Zimbabwe,Direct Drop,FCA,Air,60,9670,57439,5,0.1,1128,12330,Germany,7939
Côte d'Ivoire,From RDC,RDC,Air,30,5220,103982,19,0.66,3622,9181, Nashik,8608
Côte d'Ivoire,From RDC,RDC,Air,60,70000,212800,3,0.05,3681,9666,India,9091
Côte d'Ivoire,Direct Drop,EXW,Air,100,400,1800,4,0.04,3622,9181,India,9091
Nigeria,From RDC,RDC,Air,30,4,105,26,0.88,3622,9181, Port Elizabeth,5168
South Africa,Direct Drop,DDP,Truck,60,45,281,6,0.1,3622,9181,Germany,8973
South Africa,Direct Drop,DDP,Truck,60,2000,19410,9,0.16,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,30,58,1068,18,0.61,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,240,34,932,27,0.11,3622,9181,India,8074
Haiti,From RDC,RDC,Air,60,12000,105120,8,0.15,1077,11016,India,14446
Zambia,From RDC,RDC,Truck,30,177272,2180445,12,0.41,3622,9181, Nashik,6339
Côte d'Ivoire,From RDC,RDC,Air,120,12480,512928,41,0.34,2803,7669,Germany,5008
South Africa,Direct Drop,DDP,Air,240,11640,34920,3,0.01,4440,2283,India,8074
Nigeria,From RDC,RDC,Air Charter,60,11242,127596,11,0.19,1261,10637,India,7633
South Africa,Direct Drop,DDP,Air,90,2000,43360,21,0.24,3622,9181,India,8074
Côte d'Ivoire,Direct Drop,EXW,Air,1000,12,629,52,0.05,12,-464,India,9091
Côte d'Ivoire,From RDC,RDC,Truck,60,2863,11709,4,0.07,3622,9181, Nashik,8608
Uganda,From RDC,RDC,Truck,60,990,11345,11,0.19,597,1279,India,5524
South Africa,Direct Drop,DDP,Truck,60,130,644,4,0.08,3622,9181,France,8670
Uganda,Direct Drop,FCA,Air,60,579,3966,6,0.11,103,393,Germany,5868
Côte d'Ivoire,Direct Drop,EXW,Air,30,1984,15038,7,0.25,46,899,India,9091
Nigeria,From RDC,RDC,Air Charter,60,1048,8384,8,0.13,4809,17461,India,7633
Nigeria,From RDC,RDC,Air,30,14000,154000,11,0.37,1169,12538,India,7633
Nigeria,From RDC,RDC,Air Charter,60,28600,78078,2,0.05,3344,5147,India,7633
South Africa,Direct Drop,DDP,Ocean,60,76554,181432,2,0.04,3622,9181,India,8074
