,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance
22,Vietnam,Direct Drop,EXW,Air,30,1344,18359.04,13.66,0,Mylan (formerly Matrix) Nashik,1537,13507.92, Nashik,3641
23,South Africa,Direct Drop,DDP,Truck,60,20,103.4,5.17,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
24,South Africa,Direct Drop,DDP,Truck,30,100,1906.0,19.06,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
25,South Africa,Direct Drop,DDP,Truck,200,670,1025.1,1.53,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
26,Tanzania,Direct Drop,CIP,Air,30,2597,61470.99,23.67,0,"BMS Meymac, France",117,645.1,France,6771
27,Haiti,Direct Drop,EXW,Air,100,28,9800.0,350.0,3,"Pacific Biotech, Thailand",109,782.13,Thailand,16167
28,Vietnam,Direct Drop,EXW,Air,60,38640,92736.0,2.4,0,"Aurobindo Unit III, India",2719,18614.72,India,3157
29,Nigeria,Direct Drop,EXW,Air,540,34,1547.68,45.52,0,"Novartis Pharma AG, Switzerland",115,1755.87,Switzerland,4123
30,Vietnam,Direct Drop,EXW,Air,60,42000,60900.0,1.45,0,"Aurobindo Unit III, India",2600,10179.16,India,3157
31,South Africa,Direct Drop,DDP,Truck,240,50,696.5,13.93,0,"BI, Ingelheim, Germany",Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
32,Vietnam,Direct Drop,EXW,Air,30,16800,171192.0,10.19,0,Mylan (formerly Matrix) Nashik,1224,4686.88, Nashik,3641
33,Nigeria,Direct Drop,CIP,Air,30,9,453.6,50.4,1,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost, Haarlem,4754
34,South Africa,Direct Drop,DDP,Truck,30,80,1830.4,22.88,0,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
35,South Africa,Direct Drop,DDP,Truck,30,120,2745.6,22.88,0,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
36,South Africa,Direct Drop,DDP,Truck,200,600,858.0,1.43,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
37,South Africa,Direct Drop,DDP,Truck,60,7,91.35,13.05,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
38,Tanzania,Direct Drop,CIP,Air,30,50000,2520000.0,50.4,1,"MSD, Haarlem, NL",4093,9339, Haarlem,7164
39,Vietnam,Direct Drop,EXW,Air,60,5964,51350.04,8.61,0,"Aurobindo Unit III, India",3509,12835.2,India,3157
40,Vietnam,Direct Drop,EXW,Air,60,21000,50400.0,2.4,0,"Aurobindo Unit III, India",See ASN-3562 (ID#:960),See ASN-3562 (ID#:960),India,3157
41,Vietnam,Direct Drop,EXW,Air,60,10560,72864.0,6.9,0,"Cipla, Goa, India",924,4225.93,India,3157
42,Vietnam,Direct Drop,EXW,Air,60,2352,20250.72,8.61,0,"Aurobindo Unit III, India",211,892.5,India,3157
43,Tanzania,Direct Drop,FCA,Air,60,2094,21526.32,10.28,0,ABBVIE Ludwigshafen Germany,237,Freight Included in Commodity Cost,Germany,6837
44,Rwanda,Direct Drop,EXW,Air,30,8249,185602.5,22.5,0,Premier Med. Corp Ltd. India,2800,12595.81,India,5921
45,Nigeria,Direct Drop,CIP,Air,30,200,4734.0,23.67,0,"BMS Meymac, France",11,463,France,4142
46,Haiti,Direct Drop,CIP,Air,60,80,760.0,9.5,0,"BMS Meymac, France",43,260,France,7294
47,Haiti,Direct Drop,CIP,Air,200,32,402.88,12.59,0,"BMS Meymac, France",See ASN-3675 (ID#:1046),See ASN-3675 (ID#:1046),France,7294
48,Haiti,Direct Drop,FCA,Air,60,46,472.88,10.28,0,ABBVIE Ludwigshafen Germany,10,893.22,Germany,7877
49,South Africa,Direct Drop,DDP,Air,30,3025,47522.75,15.71,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
50,South Africa,Direct Drop,DDP,Air,30,3500,49840.0,14.24,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
51,South Africa,Direct Drop,DDP,Air,240,1008,3588.48,3.56,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
52,South Africa,Direct Drop,DDP,Air,200,960,1152.0,1.2,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
53,South Africa,Direct Drop,DDP,Air,240,1800,10512.0,5.84,0,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,Canada,15035
54,South Africa,Direct Drop,DDP,Air,60,1200,3384.0,2.82,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
55,South Africa,Direct Drop,DDP,Air,240,346,1954.9,5.65,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
56,South Africa,Direct Drop,DDP,Truck,30,5300,16642.0,3.14,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
57,South Africa,Direct Drop,DDP,Air,240,342,1932.3,5.65,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
58,South Africa,Direct Drop,DDP,Truck,60,2700,10665.0,3.95,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
59,South Africa,Direct Drop,DDP,Air,120,3735,134385.3,35.98,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
60,South Africa,Direct Drop,DDP,Air,60,11672,35016.0,3.0,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
61,Côte d'Ivoire,Direct Drop,FCA,Air,120,10240,420864.0,41.1,0,ABBVIE Ludwigshafen Germany,2523,14806.48,Germany,5008
62,South Africa,Direct Drop,DDP,Truck,30,80,2816.0,35.2,1,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
63,South Africa,Direct Drop,DDP,Truck,60,1000,19770.0,19.77,0,"Aurobindo Unit III, India",Weight Captured Separately,3134.85,India,8074
64,Haiti,Direct Drop,EXW,Air,100,60,21000.0,350.0,3,"Pacific Biotech, Thailand",144,3128.19,Thailand,16167
65,Vietnam,Direct Drop,FCA,Air,336,8,613.76,76.72,0,ABBVIE (Abbott) France,48,3366.04,France,9916
66,Vietnam,Direct Drop,EXW,Air,60,3500,39025.0,11.15,0,"Aurobindo Unit III, India",1804,6341.88,India,3157
67,Vietnam,Direct Drop,CIP,Air,60,400,2800.0,7.0,0,"BMS Meymac, France",148,14.36,France,9916
68,South Africa,Direct Drop,DDP,Truck,60,5000,41300.0,8.26,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
69,South Africa,Direct Drop,DDP,Truck,240,460,2838.2,6.17,0,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,Canada,15035
70,Côte d'Ivoire,Direct Drop,EXW,Air,100,6,2400.0,400.0,4,"Pacific Biotech, Thailand",15,1039.5,Thailand,11529
71,Vietnam,Direct Drop,CIP,Air,60,2800,19600.0,7.0,0,"BMS Meymac, France",555,3292.15,France,9916
72,Haiti,Direct Drop,EXW,Air,100,15,6000.0,400.0,4,"Pacific Biotech, Thailand",36,1195.29,Thailand,16167
73,Nigeria,Direct Drop,EXW,Air,60,894,2994.9,3.35,0,"Aurobindo Unit III, India",479,4861.14,India,7633
74,Vietnam,Direct Drop,EXW,Air,60,25100,276100.0,11.0,0,"Cipla, Goa, India",2575,18772.94,India,3157
75,Vietnam,Direct Drop,EXW,Air,60,95500,144205.0,1.51,0,"Strides, Bangalore, India.",9170,42453.21,India,3157
76,Vietnam,Direct Drop,EXW,Air,60,70000,525000.0,7.5,0,"Cipla, Goa, India",6813,31858.09,India,3157
77,Rwanda,Direct Drop,EXW,Air,30,71577,1087970.4,15.2,0,"Cipla, Goa, India",See ASN-242 (ID#:64),See ASN-242 (ID#:64),India,5921
78,Rwanda,Direct Drop,EXW,Air,60,5605,202340.5,36.1,0,"Cipla, Patalganga, India",See ASN-242 (ID#:64),See ASN-242 (ID#:64),India,5921
79,Vietnam,Direct Drop,EXW,Air,60,25000,187500.0,7.5,0,"Cipla, Goa, India",2348,21439.59,India,3157
80,Côte d'Ivoire,Direct Drop,CIP,Air,60,1577,14981.5,9.5,0,"BMS Meymac, France",306,Freight Included in Commodity Cost,France,4338
81,Côte d'Ivoire,Direct Drop,CIP,Air,60,4270,40565.0,9.5,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,4338
82,Vietnam,Direct Drop,EXW,Air,240,1000,1920.0,1.92,0,"Aurobindo Unit III, India",960,13762.41,India,3157
83,Vietnam,Direct Drop,EXW,Air,240,1000,2100.0,2.1,0,"Aurobindo Unit III, India",See ASN-744 (ID#:1356),See ASN-744 (ID#:1356),India,3157
84,Vietnam,Direct Drop,EXW,Air,240,1000,2100.0,2.1,0,"Aurobindo Unit III, India",See ASN-781 (ID#:115),See ASN-781 (ID#:115),India,3157
85,Vietnam,Direct Drop,EXW,Air,60,3000,40500.0,13.5,0,"Aurobindo Unit III, India",332,4454.62,India,3157
86,Vietnam,Direct Drop,EXW,Air,30,22500,277425.0,12.33,0,"Aurobindo Unit III, India",1955,16095.39,India,3157
87,Vietnam,Direct Drop,FCA,Air,120,500,41095.0,82.19,0,ABBVIE Ludwigshafen Germany,117,1767.38,Germany,9157
88,Rwanda,Direct Drop,EXW,Air,30,1609,27353.0,17.0,0,"Aspen-OSD, Port Elizabeth, SA",157,7922.24, Port Elizabeth,3572
89,South Africa,Direct Drop,DDP,,30,100,2850.0,28.5,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
90,Rwanda,Direct Drop,CIP,Air,60,1099,30222.5,27.5,0,Mylan (formerly Matrix) Nashik,113,1511.25, Nashik,5355
91,Vietnam,Direct Drop,EXW,Air,60,1200,2100.0,1.75,0,"Aurobindo Unit III, India",125,2429.85,India,3157
92,South Africa,Direct Drop,DDP,,60,100,573.0,5.73,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
93,South Africa,Direct Drop,DDP,Truck,90,6,47.28,7.88,0,ABBVIE (Abbott) France,Weight Captured Separately,Freight Included in Commodity Cost,France,8670
94,South Africa,Direct Drop,DDP,Truck,30,500,10925.0,21.85,0,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
95,Vietnam,Direct Drop,EXW,Air,60,10080,29232.0,2.9,0,"Aurobindo Unit III, India",507,4159.45,India,3157
96,Vietnam,Direct Drop,EXW,Air,30,6720,77145.6,11.48,0,Mylan (formerly Matrix) Nashik,522,3796.05, Nashik,3641
97,South Africa,Direct Drop,DDP,,30,300,4614.0,15.38,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
98,South Africa,Direct Drop,DDP,,30,100,1849.0,18.49,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
99,Vietnam,Direct Drop,CIP,Air,60,400,2800.0,7.0,0,"BMS Meymac, France",81,3013.09,France,9916
100,Vietnam,Direct Drop,EXW,Air,60,10780,15631.0,1.45,0,"Strides, Bangalore, India.",502,7575.6,India,3157
101,South Africa,Direct Drop,DDP,Truck,60,2000,11060.0,5.53,0,GSK Cape Town Factory (South Africa),Weight Captured Separately,Freight Included in Commodity Cost,South Africa,0
102,South Africa,Direct Drop,DDP,Truck,240,30,435.9,14.53,0,"BI, Ingelheim, Germany",Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
103,Rwanda,Direct Drop,CIP,Air,60,47879,569281.31,11.89,0,"Aurobindo Unit III, India",5311,30408.04,India,5921
104,Rwanda,Direct Drop,CIP,Air,60,61021,725539.69,11.89,0,"Aurobindo Unit III, India",6768,38120.96,India,5921
105,Vietnam,Direct Drop,EXW,Air,60,4300,37023.0,8.61,0,"Aurobindo Unit III, India",See ASN-2274 (ID#:610),See ASN-2274 (ID#:610),India,3157
106,Vietnam,Direct Drop,EXW,Air,60,18030,26143.5,1.45,0,"Aurobindo Unit III, India",1114,5822.44,India,3157
107,South Africa,Direct Drop,DDP,Truck,30,60,1096.2,18.27,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
108,South Africa,Direct Drop,DDP,Truck,200,12,150.48,12.54,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
109,Vietnam,Direct Drop,FCA,Air,120,434,35674.8,82.2,0,ABBVIE Ludwigshafen Germany,113,2709.98,Germany,9157
110,Vietnam,Direct Drop,EXW,Air,60,1100,12540.0,11.4,0,"Aurobindo Unit III, India",159,2568.6,India,3157
111,Vietnam,Direct Drop,EXW,Air,30,8400,85596.0,10.19,0,Mylan (formerly Matrix) Nashik,613,3247.73, Nashik,3641
112,Vietnam,Direct Drop,EXW,Air,60,3648,26448.0,7.25,0,"Cipla, Goa, India",323,2335.19,India,3157
113,South Africa,Direct Drop,DDP,Truck,30,300,7080.0,23.6,0,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
114,South Africa,Direct Drop,DDP,Truck,240,40,557.6,13.94,0,"BI, Ingelheim, Germany",Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
115,Vietnam,Direct Drop,EXW,Air,60,6000,17400.0,2.9,0,"Aurobindo Unit III, India",581,2653.27,India,3157
116,South Africa,Direct Drop,DDP,Truck,30,1300,20410.0,15.7,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
117,South Africa,Direct Drop,DDP,Truck,200,120,733.2,6.11,0,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,Canada,15035
118,South Africa,Direct Drop,DDP,Truck,240,40,540.4,13.51,0,"BI, Ingelheim, Germany",Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
119,Vietnam,Direct Drop,EXW,Air,60,9000,21600.0,2.4,0,"Aurobindo Unit III, India",2228,9809.7,India,3157
120,Vietnam,Direct Drop,EXW,Air,60,700,7805.0,11.15,0,"Aurobindo Unit III, India",See ASN-3562 (ID#:960),See ASN-3562 (ID#:960),India,3157
121,Nigeria,Direct Drop,CIP,Air,30,25000,1260000.0,50.4,1,"MSD, Haarlem, NL",2067,7933.38, Haarlem,4754
122,Haiti,Direct Drop,EXW,Air,100,2100,10500.0,5.0,0,"Aurobindo Unit III, India",187,1903.54,India,14446
123,South Africa,Direct Drop,DDP,Air,90,176,3359.84,19.09,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
124,South Africa,Direct Drop,DDP,Air,60,5017,24583.3,4.9,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
125,South Africa,Direct Drop,DDP,Air,240,929,3390.85,3.65,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
126,South Africa,Direct Drop,DDP,Air,60,6700,36582.0,5.46,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
127,South Africa,Direct Drop,DDP,Air,30,1120,16307.2,14.56,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
128,South Africa,Direct Drop,DDP,Air,60,100,371.0,3.71,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
129,South Africa,Direct Drop,DDP,Air,60,1000,2920.0,2.92,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
130,Uganda,Direct Drop,CIP,Air,30,60,1100.4,18.34,0,"BMS Meymac, France",3000,428.91,France,5796
131,South Africa,Direct Drop,DDP,Air,60,1500,15150.0,10.1,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
132,Rwanda,Direct Drop,CIP,Air,60,7840,71344.0,9.1,0,"Cipla, Goa, India",719,853.88,India,5921
133,South Africa,Direct Drop,DDP,Truck,90,6,43.2,7.2,0,ABBVIE (Abbott) France,Weight Captured Separately,Freight Included in Commodity Cost,France,8670
134,South Africa,Direct Drop,DDP,Truck,90,6,43.2,7.2,0,ABBVIE (Abbott) France,Weight Captured Separately,Freight Included in Commodity Cost,France,8670
135,South Africa,Direct Drop,DDP,Truck,60,76,300.2,3.95,0,"BMS Meymac, France",See ASN-4332 (ID#:1115),See ASN-4332 (ID#:1115),France,8670
136,Nigeria,Direct Drop,FCA,Air,120,73,3000.3,41.1,0,ABBVIE Ludwigshafen Germany,69,1332.43,Germany,4614
137,Nigeria,Direct Drop,FCA,Air,120,2040,83844.0,41.1,0,ABBVIE Ludwigshafen Germany,309,3777.93,Germany,4614
138,Rwanda,Direct Drop,CIP,Air,60,26932,317528.28,11.79,0,Mylan (formerly Matrix) Nashik,3393,30661.5, Nashik,5355
139,Vietnam,Direct Drop,EXW,Air,30,150,1950.0,13.0,0,"Aurobindo Unit III, India",30,4111.71,India,3157
140,Vietnam,Direct Drop,CIP,Air,60,120,840.0,7.0,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,9916
141,South Africa,Direct Drop,DDP,Truck,30,20,438.0,21.9,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
142,South Africa,Direct Drop,DDP,Truck,60,320,1475.2,4.61,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
143,Vietnam,Direct Drop,EXW,Air,60,35000,152250.0,4.35,0,"Aurobindo Unit III, India",See ASN-55 (ID#:16),See ASN-55 (ID#:16),India,3157
144,Vietnam,Direct Drop,EXW,Air,60,20000,338000.0,16.9,0,"Aurobindo Unit III, India",See ASN-55 (ID#:16),See ASN-55 (ID#:16),India,3157
145,Nigeria,Direct Drop,EXW,Air,240,416,1809.6,4.35,0,"Aurobindo Unit III, India",See ASN-57 (ID#:23),See ASN-57 (ID#:23),India,7633
146,Nigeria,Direct Drop,EXW,Air,60,486,2041.2,4.2,0,"Aurobindo Unit III, India",See ASN-57 (ID#:23),See ASN-57 (ID#:23),India,7633
147,Zambia,Direct Drop,EXW,Air,240,906,19071.3,21.05,0,"Aurobindo Unit III, India",316,3850.8,India,6906
148,Zambia,Direct Drop,EXW,Air,60,38780,432009.2,11.14,0,"Aurobindo Unit III, India",3217,14364.29,India,6906
149,Nigeria,Direct Drop,EXW,Air,60,4632,16906.8,3.65,0,"Aurobindo Unit III, India",See ASN-93 (ID#:1281),See ASN-93 (ID#:1281),India,7633
150,Nigeria,Direct Drop,EXW,Air,60,166,356.9,2.15,0,"Aurobindo Unit III, India",See ASN-93 (ID#:1281),See ASN-93 (ID#:1281),India,7633
151,Zambia,Direct Drop,EXW,Air,30,60784,1018132.0,16.75,0,"Aurobindo Unit III, India",11179,49824.57,India,6906
152,Vietnam,Direct Drop,EXW,Air,240,1000,5050.0,5.05,0,"Aurobindo Unit III, India",3822,25124.12,India,3157
153,Vietnam,Direct Drop,EXW,Air,240,1000,2440.0,2.44,0,"Cipla, Goa, India",See ASN-272 (ID#:1282),See ASN-272 (ID#:1282),India,3157
154,Haiti,Direct Drop,EXW,Air,100,25,10000.0,400.0,4,"Pacific Biotech, Thailand",60,1498.02,Thailand,16167
155,Vietnam,Direct Drop,EXW,Air,60,25000,187500.0,7.5,0,"Cipla, Goa, India",2336,21150.56,India,3157
156,Zambia,Direct Drop,CIP,Air,60,5408,68952.0,12.75,0,"BMS Meymac, France",1072,Freight Included in Commodity Cost,France,7240
157,Côte d'Ivoire,Direct Drop,EXW,Air,100,50,20000.0,400.0,4,"Pacific Biotech, Thailand",120,3004.62,Thailand,11529
158,Vietnam,Direct Drop,EXW,Air,30,22500,277425.0,12.33,0,"Aurobindo Unit III, India",2895,18045.24,India,3157
159,Vietnam,Direct Drop,EXW,Air,240,500,950.0,1.9,0,"Aurobindo Unit III, India",See ASN-744 (ID#:1356),See ASN-744 (ID#:1356),India,3157
160,Vietnam,Direct Drop,CIP,Air,60,800,5600.0,7.0,0,"BMS Meymac, France",161,2514.05,France,9916
161,Uganda,Direct Drop,CIP,Air,30,140,3313.8,23.67,0,"BMS Meymac, France",6,Freight Included in Commodity Cost,France,5796
162,South Africa,Direct Drop,DDP,,240,500,3630.0,7.26,0,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,Canada,15035
163,South Africa,Direct Drop,DDP,,30,20,535.2,26.76,0,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
164,South Africa,Direct Drop,DDP,,30,10,443.0,44.3,1,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
165,Vietnam,Direct Drop,EXW,Air,60,400,600.0,1.5,0,"Aurobindo Unit III, India",83,2426.05,India,3157
166,South Africa,Direct Drop,DDP,,30,30,1271.1,42.37,1,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
167,Côte d'Ivoire,Direct Drop,CIP,Air,60,546,3822.0,7.0,0,"BMS Meymac, France",108,Freight Included in Commodity Cost,France,4338
168,South Africa,Direct Drop,DDP,Truck,30,400,8416.0,21.04,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
169,South Africa,Direct Drop,DDP,Truck,30,2500,37500.0,15.0,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
170,Vietnam,Direct Drop,EXW,Air,60,520,13000.0,25.0,0,"Aurobindo Unit III, India",137,5260.46,India,3157
171,Vietnam,Direct Drop,EXW,Air,60,2576,3889.76,1.51,0,"Strides, Bangalore, India.",121,2789.74,India,3157
172,Vietnam,Direct Drop,EXW,Air,60,2464,3720.64,1.51,0,"Strides, Bangalore, India.",114,2879.96,India,3157
173,South Africa,Direct Drop,DDP,Truck,60,150,3166.5,21.11,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
174,South Africa,Direct Drop,DDP,Truck,60,1350,6979.5,5.17,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
175,Vietnam,Direct Drop,EXW,Air,30,2016,24917.76,12.36,0,Mylan (formerly Matrix) Nashik,120,5921.97, Nashik,3641
176,South Africa,Direct Drop,DDP,Truck,30,1000,16190.0,16.19,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
177,Uganda,Direct Drop,CIP,Air,30,50,1183.5,23.67,0,"BMS Meymac, France",2,330,France,5796
178,Vietnam,Direct Drop,EXW,Air,60,1440,10440.0,7.25,0,"Cipla, Goa, India",128,2147.61,India,3157
179,South Africa,Direct Drop,DDP,Truck,200,60,360.6,6.01,0,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,Canada,15035
180,South Africa,Direct Drop,DDP,Truck,60,130,644.8,4.96,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
181,Nigeria,Direct Drop,CIP,Air,30,5900,297360.0,50.4,1,"MSD, Haarlem, NL",493,1727.2, Haarlem,4754
182,Vietnam,Direct Drop,EXW,Air,60,6156,14774.4,2.4,0,"Aurobindo Unit III, India",1044,3854.23,India,3157
183,Uganda,Direct Drop,CIP,Air,30,50,917.0,18.34,0,"BMS Meymac, France",2,378,France,5796
184,South Africa,Direct Drop,DDP,Truck,60,1200,5772.0,4.81,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
185,Vietnam,Direct Drop,EXW,Air,60,336,2520.0,7.5,0,Mylan (formerly Matrix) Nashik,18,2525.73, Nashik,3641
186,Vietnam,Direct Drop,EXW,Air,60,300,3345.0,11.15,0,"Aurobindo Unit III, India",See ASN-3561 (ID#:2297),See ASN-3561 (ID#:2297),India,3157
187,Haiti,Direct Drop,CIP,Air,60,80,560.0,7.0,0,"BMS Meymac, France",See ASN-3675 (ID#:1046),See ASN-3675 (ID#:1046),France,7294
188,Haiti,Direct Drop,FCA,Air,120,1470,60417.0,41.1,0,ABBVIE Ludwigshafen Germany,362,2490.67,Germany,7877
