,index,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance,fair_cost
72,138,Rwanda,Direct Drop,CIP,Air,60,26932,317528.28,11.79,0.2,Mylan (formerly Matrix) Nashik,3393.0,30661.5, Nashik,5355.0,18493.15
73,139,Vietnam,Direct Drop,EXW,Air,30,150,1950.0,13.0,0.43,"Aurobindo Unit III, India",30.0,4111.71,India,3157.0,93.98
74,147,Zambia,Direct Drop,EXW,Air,240,906,19071.3,21.05,0.09,"Aurobindo Unit III, India",316.0,3850.8,India,6906.0,2239.32
75,148,Zambia,Direct Drop,EXW,Air,60,38780,432009.2,11.14,0.19,"Aurobindo Unit III, India",3217.0,14364.29,India,6906.0,22735.12
76,151,Zambia,Direct Drop,EXW,Air,30,60784,1018132.0,16.75,0.56,"Aurobindo Unit III, India",11179.0,49824.57,India,6906.0,77432.63
77,152,Vietnam,Direct Drop,EXW,Air,240,1000,5050.0,5.05,0.02,"Aurobindo Unit III, India",3822.0,25124.12,India,3157.0,11468.72
78,154,Haiti,Direct Drop,EXW,Air,100,25,10000.0,400.0,4.0,"Pacific Biotech, Thailand",60.0,1498.02,Thailand,16167.0,970.02
79,155,Vietnam,Direct Drop,EXW,Air,60,25000,187500.0,7.5,0.12,"Cipla, Goa, India",2336.0,21150.56,India,3157.0,7079.76
81,157,Côte d'Ivoire,Direct Drop,EXW,Air,100,50,20000.0,400.0,4.0,"Pacific Biotech, Thailand",120.0,3004.62,Thailand,11529.0,1383.48
82,158,Vietnam,Direct Drop,EXW,Air,30,22500,277425.0,12.33,0.41,"Aurobindo Unit III, India",2895.0,18045.24,India,3157.0,9117.28
83,160,Vietnam,Direct Drop,CIP,Air,60,800,5600.0,7.0,0.12,"BMS Meymac, France",161.0,2514.05,France,9916.0,1642.09
85,165,Vietnam,Direct Drop,EXW,Air,60,400,600.0,1.5,0.02,"Aurobindo Unit III, India",83.0,2426.05,India,3157.0,209.62
87,170,Vietnam,Direct Drop,EXW,Air,60,520,13000.0,25.0,0.42,"Aurobindo Unit III, India",137.0,5260.46,India,3157.0,435.97
88,171,Vietnam,Direct Drop,EXW,Air,60,2576,3889.76,1.51,0.03,"Strides, Bangalore, India.",121.0,2789.74,India,3157.0,455.36
89,172,Vietnam,Direct Drop,EXW,Air,60,2464,3720.64,1.51,0.03,"Strides, Bangalore, India.",114.0,2879.96,India,3157.0,429.02
90,175,Vietnam,Direct Drop,EXW,Air,30,2016,24917.76,12.36,0.41,Mylan (formerly Matrix) Nashik,120.0,5921.97, Nashik,3641.0,434.8
91,177,Uganda,Direct Drop,CIP,Air,30,50,1183.5,23.67,0.79,"BMS Meymac, France",2.0,330.0,France,5796.0,11.61
92,178,Vietnam,Direct Drop,EXW,Air,60,1440,10440.0,7.25,0.12,"Cipla, Goa, India",128.0,2147.61,India,3157.0,401.31
93,181,Nigeria,Direct Drop,CIP,Air,30,5900,297360.0,50.4,1.68,"MSD, Haarlem, NL",493.0,1727.2, Haarlem,4754.0,2343.72
94,182,Vietnam,Direct Drop,EXW,Air,60,6156,14774.4,2.4,0.04,"Aurobindo Unit III, India",1044.0,3854.23,India,3157.0,3295.91
95,183,Uganda,Direct Drop,CIP,Air,30,50,917.0,18.34,0.61,"BMS Meymac, France",2.0,378.0,France,5796.0,11.57
96,185,Vietnam,Direct Drop,EXW,Air,60,336,2520.0,7.5,0.12,Mylan (formerly Matrix) Nashik,18.0,2525.73, Nashik,3641.0,62.92
97,188,Haiti,Direct Drop,FCA,Air,120,1470,60417.0,41.1,0.34,ABBVIE Ludwigshafen Germany,362.0,2490.67,Germany,7877.0,2830.66
98,203,Rwanda,Direct Drop,CIP,Air,60,54432,641753.28,11.79,0.2,Mylan (formerly Matrix) Nashik,7278.0,61925.7, Nashik,5355.0,39667.88
99,204,Vietnam,Direct Drop,EXW,Air,60,35616,240408.0,6.75,0.11,"Cipla, Goa, India",3479.0,10048.1,India,3157.0,10739.13
100,205,Vietnam,Direct Drop,EXW,Air,30,6552,42588.0,6.5,0.22,Mylan (formerly Matrix) Nashik,524.0,4453.71, Nashik,3641.0,1937.24
101,206,Vietnam,Direct Drop,EXW,Air,60,15960,23142.0,1.45,0.02,"Aurobindo Unit III, India",1815.0,9931.49,India,3157.0,4742.03
102,212,Uganda,Direct Drop,EXW,Air,60,5080,55880.0,11.0,0.18,"Aurobindo Unit III, India",1172.0,5595.44,India,5524.0,6356.42
103,213,Rwanda,Direct Drop,EXW,Air,30,2000,42000.0,21.0,0.7,Premier Med. Corp Ltd. India,600.0,5714.31,India,5921.0,3552.6
104,215,Vietnam,Direct Drop,FCA,Air,120,1000,82190.0,82.19,0.68,ABBVIE Ludwigshafen Germany,226.0,2923.46,Germany,9157.0,2054.63
105,218,Rwanda,Direct Drop,CIP,Air,60,38784,271488.0,7.0,0.12,"Cipla, Goa, India",4124.0,10500.0,India,5921.0,25115.87
106,219,Vietnam,Direct Drop,FCA,Air,120,2000,164400.0,82.2,0.68,ABBVIE Ludwigshafen Germany,513.0,5866.31,Germany,9157.0,4663.25
107,223,Haiti,Direct Drop,FCA,Air,60,180,1850.4,10.28,0.17,ABBVIE Ludwigshafen Germany,31.0,910.86,Germany,7877.0,242.29
108,227,Vietnam,Direct Drop,EXW,Air,60,10420,77108.0,7.4,0.12,"Cipla, Goa, India",1000.0,7526.06,India,3157.0,3071.68
109,228,Vietnam,Direct Drop,EXW,Air,60,9600,71040.0,7.4,0.12,"Cipla, Goa, India",920.0,7265.05,India,3157.0,2825.94
110,229,Vietnam,Direct Drop,FCA,Air,120,1520,124944.0,82.2,0.68,ABBVIE Ludwigshafen Germany,385.0,4393.32,Germany,9157.0,3499.71
111,230,Vietnam,Direct Drop,FCA,Air,120,800,65760.0,82.2,0.68,ABBVIE Ludwigshafen Germany,208.0,3449.4,Germany,9157.0,1890.75
112,231,Vietnam,Direct Drop,EXW,Air,60,15360,113664.0,7.4,0.12,"Cipla, Goa, India",1360.0,5412.14,India,3157.0,4177.48
113,232,Vietnam,Direct Drop,EXW,Air,60,2180,6997.8,3.21,0.05,"Aurobindo Unit III, India",242.0,5881.57,India,3157.0,714.01
114,233,Vietnam,Direct Drop,EXW,Air,60,2016,18648.0,9.25,0.15,"Aurobindo Unit III, India",185.0,5551.97,India,3157.0,568.26
115,234,Vietnam,Direct Drop,CIP,Air,60,400,2800.0,7.0,0.12,"BMS Meymac, France",81.0,2035.66,France,9916.0,826.14
116,239,Vietnam,Direct Drop,EXW,Air,60,1848,5359.2,2.9,0.05,"Aurobindo Unit III, India",327.0,3171.36,India,3157.0,1067.94
117,240,Rwanda,Direct Drop,CIP,Air,60,18560,168896.0,9.1,0.15,"Cipla, Goa, India",1698.0,16414.22,India,5921.0,9943.38
118,242,Tanzania,Direct Drop,CIP,Air,30,24963,1258135.2,50.4,1.68,"MSD, Haarlem, NL",2462.0,3451.41, Haarlem,7164.0,17637.77
119,244,Tanzania,Direct Drop,FCA,Air,120,10680,438948.0,41.1,0.34,ABBVIE Ludwigshafen Germany,2724.0,12620.12,Germany,6837.0,18488.05
120,263,Côte d'Ivoire,Direct Drop,EXW,Air,60,16683,65897.85,3.95,0.07,"Aurobindo Unit III, India",1498.0,20257.08,India,9091.0,14480.24
121,265,Uganda,Direct Drop,EXW,Air,60,6349,21269.15,3.35,0.06,"Ranbaxy, Paonta Shahib, India",369.0,2623.49,India,5524.0,2190.47
122,267,Vietnam,Direct Drop,EXW,Air,60,98400,329640.0,3.35,0.06,"Ranbaxy, Paonta Shahib, India",4300.0,27923.26,India,3157.0,14588.17
123,268,Vietnam,Direct Drop,EXW,Air,60,1700,17850.0,10.5,0.18,"Aurobindo Unit III, India",356.0,14982.1,India,3157.0,1156.0
125,274,Rwanda,Direct Drop,EXW,Air,30,1400,23100.0,16.5,0.55,Premier Med. Corp Ltd. India,405.0,3616.95,India,5921.0,2398.01
126,277,Vietnam,Direct Drop,FCA,Air,120,1000,82200.0,82.2,0.68,ABBVIE Ludwigshafen Germany,249.0,3120.92,Germany,9157.0,2263.45
127,283,Vietnam,Direct Drop,EXW,Air,60,500,12500.0,25.0,0.42,"Aurobindo Unit III, India",124.0,5217.59,India,3157.0,394.6
128,284,Vietnam,Direct Drop,EXW,Air,30,2016,27538.56,13.66,0.46,Mylan (formerly Matrix) Nashik,122.0,2864.44, Nashik,3641.0,448.75
129,286,Vietnam,Direct Drop,EXW,Air,60,3024,27972.0,9.25,0.15,"Aurobindo Unit III, India",703.0,10356.86,India,3157.0,2159.39
130,287,Vietnam,Direct Drop,FCA,Air,120,1040,85488.0,82.2,0.68,ABBVIE Ludwigshafen Germany,251.0,2519.89,Germany,9157.0,2281.63
131,288,Vietnam,Direct Drop,EXW,Air,60,9576,24897.6,2.6,0.04,Mylan (formerly Matrix) Nashik,889.0,7884.8, Nashik,3641.0,2987.86
132,292,Vietnam,Direct Drop,EXW,Air,60,15960,38304.0,2.4,0.04,"Aurobindo Unit III, India",755.0,6609.02,India,3157.0,2383.54
133,293,Vietnam,Direct Drop,EXW,Air,30,5040,62294.4,12.36,0.41,Mylan (formerly Matrix) Nashik,301.0,4883.46, Nashik,3641.0,1090.62
134,294,Tanzania,Direct Drop,CIP,Air,240,132,1990.56,15.08,0.06,GSK Mississauga (Canada),65.0,633.0,Canada,13251.0,822.48
135,296,Nigeria,Direct Drop,EXW,Air,1000,7,184.45,26.35,0.03,"Micro Labs Ltd. (Brown & Burk), India",488.0,4404.9,India,7633.0,4240.88
136,297,Vietnam,Direct Drop,FCA,Air,120,6,493.2,82.2,0.68,ABBVIE Ludwigshafen Germany,9.0,2709.98,Germany,9157.0,81.81
137,298,Vietnam,Direct Drop,EXW,Air,60,880,20680.0,23.5,0.39,"Aurobindo Unit III, India",331.0,2771.84,India,3157.0,1040.52
138,299,Vietnam,Direct Drop,CIP,Air,60,280,1960.0,7.0,0.12,"BMS Meymac, France",60.0,1516.05,France,9916.0,611.96
139,302,Vietnam,Direct Drop,EXW,Air,60,6966,16718.4,2.4,0.04,"Aurobindo Unit III, India",1068.0,3894.21,India,3157.0,3371.68
140,305,Côte d'Ivoire,Direct Drop,EXW,Air,1000,12,629.88,52.49,0.05,"Medopharm Malur Factory, INDIA",12.0,536.78,India,9091.0,103.92
141,307,Rwanda,Direct Drop,EXW,Air,30,3912,88020.0,22.5,0.75,Premier Med. Corp Ltd. India,1320.0,15022.74,India,5921.0,7815.72
142,308,Haiti,Direct Drop,FCA,Air,120,10,411.0,41.1,0.34,ABBVIE Ludwigshafen Germany,9.0,807.28,Germany,7877.0,70.38
143,309,Vietnam,Direct Drop,CIP,Air,60,260,3315.0,12.75,0.21,"BMS Meymac, France",56.0,2246.81,France,9916.0,548.76
144,335,Vietnam,Direct Drop,EXW,Air,60,2080,8299.2,3.99,0.07,"Ranbaxy, Paonta Shahib, India",87.0,10657.19,India,3157.0,289.11
145,336,Vietnam,Direct Drop,EXW,Air,30,19000,323000.0,17.0,0.57,"Cipla, Goa, India",1520.0,19044.32,India,3157.0,4826.87
146,338,Uganda,Direct Drop,EXW,Air,60,6349,21586.6,3.4,0.06,"Strides, Bangalore, India.",355.0,3181.2,India,5524.0,2076.37
148,343,Vietnam,Direct Drop,EXW,Air,60,100,894.0,8.94,0.15,"Ranbaxy, Paonta Shahib, India",6.0,2794.34,India,3157.0,19.07
149,344,Vietnam,Direct Drop,FCA,Air,120,1000,82190.0,82.19,0.68,ABBVIE Ludwigshafen Germany,226.0,5294.51,Germany,9157.0,2054.63
150,345,Rwanda,Direct Drop,CIP,Air,60,182,1729.0,9.5,0.16,"BMS Meymac, France",40.0,86.4,France,6046.0,244.39
151,346,Vietnam,Direct Drop,EXW,Air,60,1200,9300.0,7.75,0.13,"Aurobindo Unit III, India",249.0,3719.91,India,3157.0,791.16
152,350,Rwanda,Direct Drop,CIP,Air,60,34576,242032.0,7.0,0.12,"Cipla, Goa, India",3656.0,10500.0,India,5921.0,22265.67
153,351,Rwanda,Direct Drop,CIP,Air,60,16640,116480.0,7.0,0.12,"Cipla, Goa, India",1766.0,10500.0,India,5921.0,10755.24
154,352,Haiti,Direct Drop,EXW,Air,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",60.0,1521.11,Thailand,16167.0,970.02
155,357,Vietnam,Direct Drop,CIP,Air,60,400,2800.0,7.0,0.12,"BMS Meymac, France",82.0,2211.05,France,9916.0,836.34
156,358,Vietnam,Direct Drop,EXW,Air,100,630,3458.7,5.49,0.05,"Aurobindo Unit III, India",48.0,2729.91,India,3157.0,138.01
157,362,Vietnam,Direct Drop,EXW,Air,60,9275,13448.75,1.45,0.02,"Strides, Bangalore, India.",432.0,7444.35,India,3157.0,1128.68
158,366,Nigeria,Direct Drop,EXW,Air,1000,20,527.0,26.35,0.03,"Micro Labs Ltd. (Brown & Burk), India",1920.0,20134.43,India,7633.0,16685.42
159,367,Rwanda,Direct Drop,EXW,Air,30,6180,101970.0,16.5,0.55,Premier Med. Corp Ltd. India,2130.0,17331.66,India,5921.0,12611.73
160,368,Rwanda,Direct Drop,CIP,Air,60,45168,414642.24,9.18,0.15,"Aurobindo Unit III, India",3953.0,23071.26,India,5921.0,22946.78
161,379,Tanzania,Direct Drop,FCA,Air,120,12560,516216.0,41.1,0.34,ABBVIE Ludwigshafen Germany,3073.0,12815.42,Germany,6837.0,20856.74
162,381,Haiti,Direct Drop,EXW,Air,30,1242,2782.08,2.24,0.07,"Aurobindo Unit III, India",96.0,1448.55,India,14446.0,1300.14
163,397,Uganda,Direct Drop,CIP,Air,30,84,1540.56,18.34,0.61,"BMS Meymac, France",4.0,390.81,France,5796.0,23.13
164,399,Uganda,Direct Drop,EXW,Air,120,1270,26670.0,21.0,0.18,"Aspen-OSD, Port Elizabeth, SA",201.0,1262.91, Port Elizabeth,3989.0,824.7
165,404,Rwanda,Direct Drop,CIP,Air,60,100000,700000.0,7.0,0.12,"Cipla, Goa, India",10303.0,35034.75,India,5921.0,62747.04
166,405,Rwanda,Direct Drop,CIP,Air,30,32510,381992.5,11.75,0.39,"Aurobindo Unit III, India",2791.0,28336.18,India,5921.0,16455.19
167,407,Haiti,Direct Drop,EXW,Air,100,30,10500.0,350.0,3.5,"Pacific Biotech, Thailand",72.0,2556.61,Thailand,16167.0,1164.02
168,408,Vietnam,Direct Drop,EXW,Air,30,10080,115718.4,11.48,0.38,Mylan (formerly Matrix) Nashik,772.0,4408.29, Nashik,3641.0,2791.26
169,409,Vietnam,Direct Drop,EXW,Air,60,9792,72460.8,7.4,0.12,"Cipla, Goa, India",836.0,5136.08,India,3157.0,2567.92
170,416,Vietnam,Direct Drop,FCA,Air,120,1080,88776.0,82.2,0.68,ABBVIE Ludwigshafen Germany,259.0,2985.93,Germany,9157.0,2354.35
171,419,Haiti,Direct Drop,FCA,Air,60,20,205.6,10.28,0.17,ABBVIE Ludwigshafen Germany,19.0,658.68,Germany,7877.0,148.5
172,421,Nigeria,Direct Drop,CIP,Air,30,2000,100800.0,50.4,1.68,"MSD, Haarlem, NL",169.0,924.4, Haarlem,4754.0,803.43
173,424,Tanzania,Direct Drop,FCA,Air,120,12500,513750.0,41.1,0.34,ABBVIE Ludwigshafen Germany,3088.0,12937.16,Germany,6837.0,20958.55
174,425,Vietnam,Direct Drop,EXW,Air,60,168,1260.0,7.5,0.12,Mylan (formerly Matrix) Nashik,9.0,2793.62, Nashik,3641.0,31.46
175,426,Vietnam,Direct Drop,EXW,Air,60,24480,168912.0,6.9,0.12,"Cipla, Goa, India",2165.0,4443.97,India,3157.0,7132.07
176,428,Rwanda,Direct Drop,CIP,Air,60,22752,207043.2,9.1,0.15,"Cipla, Goa, India",2086.0,853.87,India,5921.0,12215.48
177,429,Haiti,Direct Drop,FCA,Air,60,14,143.92,10.28,0.17,ABBVIE Ludwigshafen Germany,7.0,810.36,Germany,7877.0,54.71
178,430,Haiti,Direct Drop,EXW,Air,30,560,5040.0,9.0,0.3,Mylan (formerly Matrix) Nashik,32050.0,806.55, Nashik,14325.0,459116.25
179,449,Haiti,Direct Drop,EXW,Air,100,55,19250.0,350.0,3.5,"Pacific Biotech, Thailand",132.0,3013.19,Thailand,16167.0,2134.04
180,451,Vietnam,Direct Drop,EXW,Air,60,19392,130896.0,6.75,0.11,"Cipla, Goa, India",1899.0,5209.46,India,3157.0,5861.92
181,457,Nigeria,Direct Drop,FCA,Air,120,5000,205500.0,41.1,0.34,ABBVIE Ludwigshafen Germany,1246.0,10490.77,Germany,4614.0,5707.08
182,458,Vietnam,Direct Drop,EXW,Air,60,1000,44500.0,44.5,0.74,"Aurobindo Unit III, India",91.0,7878.06,India,3157.0,286.64
183,463,Vietnam,Direct Drop,EXW,Air,60,1300,10075.0,7.75,0.13,"Aurobindo Unit III, India",270.0,3850.43,India,3157.0,857.89
184,464,Zimbabwe,Direct Drop,EXW,Air,100,10,3500.0,350.0,3.5,"Pacific Biotech, Thailand",24.0,536.08,Thailand,8622.0,206.93
