,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
33,Nigeria,Direct Drop,CIP,Air,30,9,453,50,1.68,3622,10181, Haarlem,4754
34,South Africa,Direct Drop,DDP,Truck,30,80,1830,22,0.76,3622,10181, Port Elizabeth,573
35,South Africa,Direct Drop,DDP,Truck,30,120,2745,22,0.76,3622,10181, Port Elizabeth,573
36,South Africa,Direct Drop,DDP,Truck,200,600,858,1,0.01,3622,10181,France,8670
37,South Africa,Direct Drop,DDP,Truck,60,7,91,13,0.22,3622,10181,France,8670
38,Tanzania,Direct Drop,CIP,Air,30,50000,2520000,50,1.68,4093,9339, Haarlem,7164
39,Vietnam,Direct Drop,EXW,Air,60,5964,51350,8,0.14,3509,12835,India,3157
40,Vietnam,Direct Drop,EXW,Air,60,21000,50400,2,0.04,3622,10181,India,3157
41,Vietnam,Direct Drop,EXW,Air,60,10560,72864,6,0.12,924,4225,India,3157
42,Vietnam,Direct Drop,EXW,Air,60,2352,20250,8,0.14,211,892,India,3157
43,Tanzania,Direct Drop,FCA,Air,60,2094,21526,10,0.17,237,10181,Germany,6837
44,Rwanda,Direct Drop,EXW,Air,30,8249,185602,22,0.75,2800,12595,India,5921
45,Nigeria,Direct Drop,CIP,Air,30,200,4734,23,0.79,11,463,France,4142
46,Haiti,Direct Drop,CIP,Air,60,80,760,9,0.16,43,260,France,7294
47,Haiti,Direct Drop,CIP,Air,200,32,402,12,0.06,3622,10181,France,7294
48,Haiti,Direct Drop,FCA,Air,60,46,472,10,0.17,10,893,Germany,7877
49,South Africa,Direct Drop,DDP,Air,30,3025,47522,15,0.52,3622,10181,India,8074
50,South Africa,Direct Drop,DDP,Air,30,3500,49840,14,0.47,3622,10181,India,8074
51,South Africa,Direct Drop,DDP,Air,240,1008,3588,3,0.01,3622,10181,India,8074
52,South Africa,Direct Drop,DDP,Air,200,960,1152,1,0.01,3622,10181,France,8670
53,South Africa,Direct Drop,DDP,Air,240,1800,10512,5,0.02,3622,10181,Canada,15035
54,South Africa,Direct Drop,DDP,Air,60,1200,3384,2,0.05,3622,10181,India,8074
55,South Africa,Direct Drop,DDP,Air,240,346,1954,5,0.02,3622,10181,India,8074
56,South Africa,Direct Drop,DDP,Truck,30,5300,16642,3,0.1,3622,10181,India,8074
57,South Africa,Direct Drop,DDP,Air,240,342,1932,5,0.02,3622,10181,India,8074
58,South Africa,Direct Drop,DDP,Truck,60,2700,10665,3,0.07,3622,10181,France,8670
59,South Africa,Direct Drop,DDP,Air,120,3735,134385,35,0.3,3622,10181,Germany,8973
60,South Africa,Direct Drop,DDP,Air,60,11672,35016,3,0.05,3622,10181,India,8074
61,Côte d'Ivoire,Direct Drop,FCA,Air,120,10240,420864,41,0.34,2523,14806,Germany,5008
62,South Africa,Direct Drop,DDP,Truck,30,80,2816,35,1.17,3622,10181, Port Elizabeth,573
63,South Africa,Direct Drop,DDP,Truck,60,1000,19770,19,0.33,3622,3134,India,8074
64,Haiti,Direct Drop,EXW,Air,100,60,21000,350,3.5,144,3128,Thailand,16167
65,Vietnam,Direct Drop,FCA,Air,336,8,613,76,0.23,48,3366,France,9916
66,Vietnam,Direct Drop,EXW,Air,60,3500,39025,11,0.19,1804,6341,India,3157
67,Vietnam,Direct Drop,CIP,Air,60,400,2800,7,0.12,148,14,France,9916
68,South Africa,Direct Drop,DDP,Truck,60,5000,41300,8,0.14,3622,10181,India,8074
69,South Africa,Direct Drop,DDP,Truck,240,460,2838,6,0.03,3622,10181,Canada,15035
70,Côte d'Ivoire,Direct Drop,EXW,Air,100,6,2400,400,4.0,15,1039,Thailand,11529
71,Vietnam,Direct Drop,CIP,Air,60,2800,19600,7,0.12,555,3292,France,9916
72,Haiti,Direct Drop,EXW,Air,100,15,6000,400,4.0,36,1195,Thailand,16167
73,Nigeria,Direct Drop,EXW,Air,60,894,2994,3,0.06,479,4861,India,7633
74,Vietnam,Direct Drop,EXW,Air,60,25100,276100,11,0.18,2575,18772,India,3157
75,Vietnam,Direct Drop,EXW,Air,60,95500,144205,1,0.03,9170,42453,India,3157
76,Vietnam,Direct Drop,EXW,Air,60,70000,525000,7,0.12,6813,31858,India,3157
77,Rwanda,Direct Drop,EXW,Air,30,71577,1087970,15,0.51,3622,10181,India,5921
78,Rwanda,Direct Drop,EXW,Air,60,5605,202340,36,0.6,3622,10181,India,5921
79,Vietnam,Direct Drop,EXW,Air,60,25000,187500,7,0.12,2348,21439,India,3157
80,Côte d'Ivoire,Direct Drop,CIP,Air,60,1577,14981,9,0.16,306,10181,France,4338
81,Côte d'Ivoire,Direct Drop,CIP,Air,60,4270,40565,9,0.16,3622,10181,France,4338
82,Vietnam,Direct Drop,EXW,Air,240,1000,1920,1,0.01,960,13762,India,3157
83,Vietnam,Direct Drop,EXW,Air,240,1000,2100,2,0.01,3622,10181,India,3157
84,Vietnam,Direct Drop,EXW,Air,240,1000,2100,2,0.01,3622,10181,India,3157
85,Vietnam,Direct Drop,EXW,Air,60,3000,40500,13,0.22,332,4454,India,3157
86,Vietnam,Direct Drop,EXW,Air,30,22500,277425,12,0.41,1955,16095,India,3157
87,Vietnam,Direct Drop,FCA,Air,120,500,41095,82,0.68,117,1767,Germany,9157
88,Rwanda,Direct Drop,EXW,Air,30,1609,27353,17,0.57,157,7922, Port Elizabeth,3572
89,South Africa,Direct Drop,DDP,,30,100,2850,28,0.95,3622,10181,France,8670
90,Rwanda,Direct Drop,CIP,Air,60,1099,30222,27,0.46,113,1511, Nashik,5355
91,Vietnam,Direct Drop,EXW,Air,60,1200,2100,1,0.03,125,2429,India,3157
92,South Africa,Direct Drop,DDP,,60,100,573,5,0.1,3622,10181,France,8670
93,South Africa,Direct Drop,DDP,Truck,90,6,47,7,0.09,3622,10181,France,8670
94,South Africa,Direct Drop,DDP,Truck,30,500,10925,21,0.73,3622,10181, Port Elizabeth,573
95,Vietnam,Direct Drop,EXW,Air,60,10080,29232,2,0.05,507,4159,India,3157
96,Vietnam,Direct Drop,EXW,Air,30,6720,77145,11,0.38,522,3796, Nashik,3641
97,South Africa,Direct Drop,DDP,,30,300,4614,15,0.51,3622,10181,India,8074
98,South Africa,Direct Drop,DDP,,30,100,1849,18,0.62,3622,10181,France,8670
99,Vietnam,Direct Drop,CIP,Air,60,400,2800,7,0.12,81,3013,France,9916
100,Vietnam,Direct Drop,EXW,Air,60,10780,15631,1,0.02,502,7575,India,3157
101,South Africa,Direct Drop,DDP,Truck,60,2000,11060,5,0.09,3622,10181,South Africa,0
102,South Africa,Direct Drop,DDP,Truck,240,30,435,14,0.06,3622,10181,Germany,8973
103,Rwanda,Direct Drop,CIP,Air,60,47879,569281,11,0.2,5311,30408,India,5921
104,Rwanda,Direct Drop,CIP,Air,60,61021,725539,11,0.2,6768,38120,India,5921
105,Vietnam,Direct Drop,EXW,Air,60,4300,37023,8,0.14,3622,10181,India,3157
106,Vietnam,Direct Drop,EXW,Air,60,18030,26143,1,0.02,1114,5822,India,3157
107,South Africa,Direct Drop,DDP,Truck,30,60,1096,18,0.61,3622,10181,France,8670
108,South Africa,Direct Drop,DDP,Truck,200,12,150,12,0.06,3622,10181,France,8670
109,Vietnam,Direct Drop,FCA,Air,120,434,35674,82,0.68,113,2709,Germany,9157
110,Vietnam,Direct Drop,EXW,Air,60,1100,12540,11,0.19,159,2568,India,3157
111,Vietnam,Direct Drop,EXW,Air,30,8400,85596,10,0.34,613,3247, Nashik,3641
112,Vietnam,Direct Drop,EXW,Air,60,3648,26448,7,0.12,323,2335,India,3157
113,South Africa,Direct Drop,DDP,Truck,30,300,7080,23,0.79,3622,10181, Port Elizabeth,573
114,South Africa,Direct Drop,DDP,Truck,240,40,557,13,0.06,3622,10181,Germany,8973
115,Vietnam,Direct Drop,EXW,Air,60,6000,17400,2,0.05,581,2653,India,3157
116,South Africa,Direct Drop,DDP,Truck,30,1300,20410,15,0.52,3622,10181,India,8074
117,South Africa,Direct Drop,DDP,Truck,200,120,733,6,0.03,3622,10181,Canada,15035
118,South Africa,Direct Drop,DDP,Truck,240,40,540,13,0.06,3622,10181,Germany,8973
119,Vietnam,Direct Drop,EXW,Air,60,9000,21600,2,0.04,2228,9809,India,3157
120,Vietnam,Direct Drop,EXW,Air,60,700,7805,11,0.19,3622,10181,India,3157
121,Nigeria,Direct Drop,CIP,Air,30,25000,1260000,50,1.68,2067,7933, Haarlem,4754
122,Haiti,Direct Drop,EXW,Air,100,2100,10500,5,0.05,187,1903,India,14446
123,South Africa,Direct Drop,DDP,Air,90,176,3359,19,0.21,3622,10181,India,8074
124,South Africa,Direct Drop,DDP,Air,60,5017,24583,4,0.08,3622,10181,India,8074
125,South Africa,Direct Drop,DDP,Air,240,929,3390,3,0.02,3622,10181,India,8074
126,South Africa,Direct Drop,DDP,Air,60,6700,36582,5,0.09,3622,10181,India,8074
127,South Africa,Direct Drop,DDP,Air,30,1120,16307,14,0.49,3622,10181,India,8074
128,South Africa,Direct Drop,DDP,Air,60,100,371,3,0.06,3622,10181,France,8670
129,South Africa,Direct Drop,DDP,Air,60,1000,2920,2,0.05,3622,10181,India,8074
130,Uganda,Direct Drop,CIP,Air,30,60,1100,18,0.61,3000,428,France,5796
131,South Africa,Direct Drop,DDP,Air,60,1500,15150,10,0.17,3622,10181,France,8670
132,Rwanda,Direct Drop,CIP,Air,60,7840,71344,9,0.15,719,853,India,5921
133,South Africa,Direct Drop,DDP,Truck,90,6,43,7,0.08,3622,10181,France,8670
134,South Africa,Direct Drop,DDP,Truck,90,6,43,7,0.08,3622,10181,France,8670
135,South Africa,Direct Drop,DDP,Truck,60,76,300,3,0.07,3622,10181,France,8670
136,Nigeria,Direct Drop,FCA,Air,120,73,3000,41,0.34,69,1332,Germany,4614
137,Nigeria,Direct Drop,FCA,Air,120,2040,83844,41,0.34,309,3777,Germany,4614
138,Rwanda,Direct Drop,CIP,Air,60,26932,317528,11,0.2,3393,30661, Nashik,5355
139,Vietnam,Direct Drop,EXW,Air,30,150,1950,13,0.43,30,4111,India,3157
140,Vietnam,Direct Drop,CIP,Air,60,120,840,7,0.12,3622,10181,France,9916
141,South Africa,Direct Drop,DDP,Truck,30,20,438,21,0.73,3622,10181,France,8670
142,South Africa,Direct Drop,DDP,Truck,60,320,1475,4,0.08,3622,10181,France,8670
143,Vietnam,Direct Drop,EXW,Air,60,35000,152250,4,0.07,3622,10181,India,3157
144,Vietnam,Direct Drop,EXW,Air,60,20000,338000,16,0.28,3622,10181,India,3157
145,Nigeria,Direct Drop,EXW,Air,240,416,1809,4,0.02,3622,10181,India,7633
146,Nigeria,Direct Drop,EXW,Air,60,486,2041,4,0.07,3622,10181,India,7633
147,Zambia,Direct Drop,EXW,Air,240,906,19071,21,0.09,316,3850,India,6906
148,Zambia,Direct Drop,EXW,Air,60,38780,432009,11,0.19,3217,14364,India,6906
149,Nigeria,Direct Drop,EXW,Air,60,4632,16906,3,0.06,3622,10181,India,7633
150,Nigeria,Direct Drop,EXW,Air,60,166,356,2,0.04,3622,10181,India,7633
151,Zambia,Direct Drop,EXW,Air,30,60784,1018132,16,0.56,11179,49824,India,6906
152,Vietnam,Direct Drop,EXW,Air,240,1000,5050,5,0.02,3822,25124,India,3157
153,Vietnam,Direct Drop,EXW,Air,240,1000,2440,2,0.01,3622,10181,India,3157
154,Haiti,Direct Drop,EXW,Air,100,25,10000,400,4.0,60,1498,Thailand,16167
155,Vietnam,Direct Drop,EXW,Air,60,25000,187500,7,0.12,2336,21150,India,3157
156,Zambia,Direct Drop,CIP,Air,60,5408,68952,12,0.21,1072,10181,France,7240
157,Côte d'Ivoire,Direct Drop,EXW,Air,100,50,20000,400,4.0,120,3004,Thailand,11529
158,Vietnam,Direct Drop,EXW,Air,30,22500,277425,12,0.41,2895,18045,India,3157
159,Vietnam,Direct Drop,EXW,Air,240,500,950,1,0.01,3622,10181,India,3157
160,Vietnam,Direct Drop,CIP,Air,60,800,5600,7,0.12,161,2514,France,9916
161,Uganda,Direct Drop,CIP,Air,30,140,3313,23,0.79,6,10181,France,5796
162,South Africa,Direct Drop,DDP,,240,500,3630,7,0.03,3622,10181,Canada,15035
163,South Africa,Direct Drop,DDP,,30,20,535,26,0.89,3622,10181, Port Elizabeth,573
164,South Africa,Direct Drop,DDP,,30,10,443,44,1.48,3622,10181, Port Elizabeth,573
165,Vietnam,Direct Drop,EXW,Air,60,400,600,1,0.02,83,2426,India,3157
166,South Africa,Direct Drop,DDP,,30,30,1271,42,1.41,3622,10181, Port Elizabeth,573
167,Côte d'Ivoire,Direct Drop,CIP,Air,60,546,3822,7,0.12,108,10181,France,4338
168,South Africa,Direct Drop,DDP,Truck,30,400,8416,21,0.7,3622,10181,France,8670
169,South Africa,Direct Drop,DDP,Truck,30,2500,37500,15,0.5,3622,10181,India,8074
170,Vietnam,Direct Drop,EXW,Air,60,520,13000,25,0.42,137,5260,India,3157
171,Vietnam,Direct Drop,EXW,Air,60,2576,3889,1,0.03,121,2789,India,3157
172,Vietnam,Direct Drop,EXW,Air,60,2464,3720,1,0.03,114,2879,India,3157
173,South Africa,Direct Drop,DDP,Truck,60,150,3166,21,0.35,3622,10181,India,8074
174,South Africa,Direct Drop,DDP,Truck,60,1350,6979,5,0.09,3622,10181,France,8670
175,Vietnam,Direct Drop,EXW,Air,30,2016,24917,12,0.41,120,5921, Nashik,3641
176,South Africa,Direct Drop,DDP,Truck,30,1000,16190,16,0.54,3622,10181,India,8074
177,Uganda,Direct Drop,CIP,Air,30,50,1183,23,0.79,2,330,France,5796
178,Vietnam,Direct Drop,EXW,Air,60,1440,10440,7,0.12,128,2147,India,3157
179,South Africa,Direct Drop,DDP,Truck,200,60,360,6,0.03,3622,10181,Canada,15035
180,South Africa,Direct Drop,DDP,Truck,60,130,644,4,0.08,3622,10181,France,8670
181,Nigeria,Direct Drop,CIP,Air,30,5900,297360,50,1.68,493,1727, Haarlem,4754
182,Vietnam,Direct Drop,EXW,Air,60,6156,14774,2,0.04,1044,3854,India,3157
183,Uganda,Direct Drop,CIP,Air,30,50,917,18,0.61,2,378,France,5796
184,South Africa,Direct Drop,DDP,Truck,60,1200,5772,4,0.08,3622,10181,France,8670
185,Vietnam,Direct Drop,EXW,Air,60,336,2520,7,0.12,18,2525, Nashik,3641
186,Vietnam,Direct Drop,EXW,Air,60,300,3345,11,0.19,3622,10181,India,3157
187,Haiti,Direct Drop,CIP,Air,60,80,560,7,0.12,3622,10181,France,7294
188,Haiti,Direct Drop,FCA,Air,120,1470,60417,41,0.34,362,2490,Germany,7877
189,South Africa,Direct Drop,DDP,Air,60,1000,3970,3,0.07,3622,10181,France,8670
190,South Africa,Direct Drop,DDP,Air,60,3675,9371,2,0.04,3622,10181,India,8074
191,South Africa,Direct Drop,DDP,Air,90,824,15515,18,0.21,3622,10181,India,8074
192,South Africa,Direct Drop,DDP,Air,60,10000,56800,5,0.09,3622,10181,South Africa,0
193,South Africa,Direct Drop,DDP,Air,200,3000,5970,1,0.01,3622,10181,India,8074
194,South Africa,Direct Drop,DDP,Air,60,1977,23091,11,0.19,3622,10181,India,8074
195,South Africa,Direct Drop,DDP,Air,30,282,4314,15,0.51,3622,10181,India,8074
196,South Africa,Direct Drop,DDP,Air,240,30,312,10,0.04,3622,10181,Germany,8973
197,South Africa,Direct Drop,DDP,Air,30,60,1095,18,0.61,3622,10181,France,8670
198,South Africa,Direct Drop,DDP,Air,30,3500,44170,12,0.42,3622,10181,India,8074
199,South Africa,Direct Drop,DDP,Air,90,2000,43360,21,0.24,3622,10181,India,8074
200,South Africa,Direct Drop,DDP,Air,120,1400,49532,35,0.29,3622,10181,Germany,8973
201,South Africa,Direct Drop,DDP,Air,60,1800,7110,3,0.07,3622,10181,France,8670
202,South Africa,Direct Drop,DDP,Truck,60,36,254,7,0.12,3622,10181,India,8074
203,Rwanda,Direct Drop,CIP,Air,60,54432,641753,11,0.2,7278,61925, Nashik,5355
204,Vietnam,Direct Drop,EXW,Air,60,35616,240408,6,0.11,3479,10048,India,3157
205,Vietnam,Direct Drop,EXW,Air,30,6552,42588,6,0.22,524,4453, Nashik,3641
206,Vietnam,Direct Drop,EXW,Air,60,15960,23142,1,0.02,1815,9931,India,3157
207,Vietnam,Direct Drop,EXW,Air,60,3500,39025,11,0.19,3622,10181,India,3157
208,Vietnam,Direct Drop,CIP,Air,60,120,840,7,0.12,3622,10181,France,9916
209,South Africa,Direct Drop,DDP,Truck,30,40,678,16,0.57,3622,10181,France,8670
210,South Africa,Direct Drop,DDP,Truck,240,30,328,10,0.05,3622,10181,India,8074
211,South Africa,Direct Drop,DDP,Truck,30,300,7440,24,0.83,3622,10181, Port Elizabeth,573
212,Uganda,Direct Drop,EXW,Air,60,5080,55880,11,0.18,1172,5595,India,5524
213,Rwanda,Direct Drop,EXW,Air,30,2000,42000,21,0.7,600,5714,India,5921
214,Vietnam,Direct Drop,EXW,Air,60,1500,41475,27,0.46,3622,10181,India,3157
215,Vietnam,Direct Drop,FCA,Air,120,1000,82190,82,0.68,226,2923,Germany,9157
216,Côte d'Ivoire,Direct Drop,CIP,Air,60,1161,6548,5,0.09,3622,10181,France,4338
217,South Africa,Direct Drop,DDP,,60,800,4792,5,0.1,3622,10181,France,8670
218,Rwanda,Direct Drop,CIP,Air,60,38784,271488,7,0.12,4124,10500,India,5921
219,Vietnam,Direct Drop,FCA,Air,120,2000,164400,82,0.68,513,5866,Germany,9157
220,Vietnam,Direct Drop,EXW,Air,60,800,1400,1,0.03,3622,10181,India,3157
221,South Africa,Direct Drop,DDP,,60,100,2318,23,0.39,3622,10181,Germany,8973
222,South Africa,Direct Drop,DDP,,240,300,2049,6,0.03,3622,10181,Canada,15035
223,Haiti,Direct Drop,FCA,Air,60,180,1850,10,0.17,31,910,Germany,7877
224,South Africa,Direct Drop,DDP,Truck,30,800,21720,27,0.9,3622,10181,France,8670
225,South Africa,Direct Drop,DDP,Truck,240,1000,6410,6,0.03,3622,10181,Canada,15035
226,Vietnam,Direct Drop,EXW,Air,60,408,3162,7,0.13,3622,10181,India,3157
227,Vietnam,Direct Drop,EXW,Air,60,10420,77108,7,0.12,1000,7526,India,3157
228,Vietnam,Direct Drop,EXW,Air,60,9600,71040,7,0.12,920,7265,India,3157
229,Vietnam,Direct Drop,FCA,Air,120,1520,124944,82,0.68,385,4393,Germany,9157
230,Vietnam,Direct Drop,FCA,Air,120,800,65760,82,0.68,208,3449,Germany,9157
231,Vietnam,Direct Drop,EXW,Air,60,15360,113664,7,0.12,1360,5412,India,3157
232,Vietnam,Direct Drop,EXW,Air,60,2180,6997,3,0.05,242,5881,India,3157
233,Vietnam,Direct Drop,EXW,Air,60,2016,18648,9,0.15,185,5551,India,3157
234,Vietnam,Direct Drop,CIP,Air,60,400,2800,7,0.12,81,2035,France,9916
235,Vietnam,Direct Drop,EXW,Air,30,10080,103219,10,0.34,3622,10181, Nashik,3641
236,South Africa,Direct Drop,DDP,Truck,60,4,52,13,0.22,3622,10181,France,8670
237,South Africa,Direct Drop,DDP,Truck,30,400,9536,23,0.79,3622,10181, Port Elizabeth,573
238,Tanzania,Direct Drop,CIP,Air,30,2597,61470,23,0.79,3622,10181,France,6771
239,Vietnam,Direct Drop,EXW,Air,60,1848,5359,2,0.05,327,3171,India,3157
240,Rwanda,Direct Drop,CIP,Air,60,18560,168896,9,0.15,1698,16414,India,5921
241,Zambia,Direct Drop,CIP,Air,60,545,3815,7,0.12,3622,10181,France,7240
242,Tanzania,Direct Drop,CIP,Air,30,24963,1258135,50,1.68,2462,3451, Haarlem,7164
243,Vietnam,Direct Drop,EXW,Air,60,5200,15080,2,0.05,3622,10181,India,3157
244,Tanzania,Direct Drop,FCA,Air,120,10680,438948,41,0.34,2724,12620,Germany,6837
245,South Africa,Direct Drop,DDP,Air,30,7000,113050,16,0.54,3622,10181,India,8074
246,South Africa,Direct Drop,DDP,Air,60,983,4875,4,0.08,3622,10181,India,8074
247,South Africa,Direct Drop,DDP,Air,60,1325,3339,2,0.04,3622,10181,India,8074
248,South Africa,Direct Drop,DDP,Air,60,6800,82620,12,0.2,3622,10181,India,8074
249,South Africa,Direct Drop,DDP,Air,30,3414,49810,14,0.49,3622,10181,India,8074
250,South Africa,Direct Drop,DDP,Air,30,6215,102609,16,0.55,3622,10181,India,8074
251,South Africa,Direct Drop,DDP,Air,30,500,1530,3,0.1,3622,10181,India,8074
252,South Africa,Direct Drop,DDP,Air,30,1200,14532,12,0.4,3622,10181,India,8074
253,South Africa,Direct Drop,DDP,Air,30,500,8820,17,0.59,3622,10181, Port Elizabeth,573
254,South Africa,Direct Drop,DDP,Air,30,80,2336,29,0.97,3622,10181, Port Elizabeth,573
255,South Africa,Direct Drop,DDP,Air,90,1,5,5,0.07,3622,10181,France,8670
256,South Africa,Direct Drop,DDP,Air,60,300,1179,3,0.07,3622,10181,France,8670
257,South Africa,Direct Drop,DDP,Air,240,108,610,5,0.02,3622,10181,India,8074
258,South Africa,Direct Drop,DDP,Air,60,9620,68109,7,0.12,3622,10181,India,8074
259,South Africa,Direct Drop,DDP,Truck,30,250,5315,21,0.71,3622,10181, Port Elizabeth,573
260,South Africa,Direct Drop,DDP,Truck,120,400,14400,36,0.3,3622,10181,Germany,8973
261,South Africa,Direct Drop,DDP,Truck,120,200,8396,41,0.35,3622,10181,Germany,8973
262,Nigeria,Direct Drop,EXW,Air,240,416,2579,6,0.03,3622,10181,India,7633
263,Côte d'Ivoire,Direct Drop,EXW,Air,60,16683,65897,3,0.07,1498,20257,India,9091
264,Côte d'Ivoire,Direct Drop,EXW,Air,60,9321,29361,3,0.05,3622,10181,India,9091
265,Uganda,Direct Drop,EXW,Air,60,6349,21269,3,0.06,369,2623,India,5524
266,Zambia,Direct Drop,EXW,Air,60,33333,120332,3,0.06,3622,10181,India,6906
267,Vietnam,Direct Drop,EXW,Air,60,98400,329640,3,0.06,4300,27923,India,3157
268,Vietnam,Direct Drop,EXW,Air,60,1700,17850,10,0.18,356,14982,India,3157
269,Vietnam,Direct Drop,EXW,Air,60,700,30835,44,0.73,3622,10181,India,3157
270,Vietnam,Direct Drop,EXW,Air,30,38300,641525,16,0.56,3622,10181,India,3157
271,Nigeria,Direct Drop,EXW,Air,100,8,3200,400,4.0,3622,10181,Thailand,10046
272,Zimbabwe,Direct Drop,CIP,Air,60,54,513,9,0.16,3622,10181,France,7729
273,Côte d'Ivoire,Direct Drop,CIP,Air,60,1577,14981,9,0.16,309,10181,France,4338
274,Rwanda,Direct Drop,EXW,Air,30,1400,23100,16,0.55,405,3616,India,5921
275,South Africa,Direct Drop,DDP,,90,3,28,9,0.11,3622,10181,France,8670
276,South Africa,Direct Drop,DDP,,30,100,2208,22,0.74,3622,10181,France,8670
277,Vietnam,Direct Drop,FCA,Air,120,1000,82200,82,0.68,249,3120,Germany,9157
278,Vietnam,Direct Drop,EXW,Air,60,600,900,1,0.02,3622,10181,India,3157
279,South Africa,Direct Drop,DDP,,60,200,1146,5,0.1,3622,10181,France,8670
280,South Africa,Direct Drop,DDP,Truck,60,3000,16350,5,0.09,3622,10181,South Africa,0
281,South Africa,Direct Drop,DDP,Truck,60,200,978,4,0.08,3622,10181,France,8670
282,South Africa,Direct Drop,DDP,Truck,30,20,723,36,1.21,3622,10181, Port Elizabeth,573
283,Vietnam,Direct Drop,EXW,Air,60,500,12500,25,0.42,124,5217,India,3157
284,Vietnam,Direct Drop,EXW,Air,30,2016,27538,13,0.46,122,2864, Nashik,3641
285,South Africa,Direct Drop,DDP,,60,100,2030,20,0.34,3622,10181,Germany,8973
286,Vietnam,Direct Drop,EXW,Air,60,3024,27972,9,0.15,703,10356,India,3157
287,Vietnam,Direct Drop,FCA,Air,120,1040,85488,82,0.68,251,2519,Germany,9157
288,Vietnam,Direct Drop,EXW,Air,60,9576,24897,2,0.04,889,7884, Nashik,3641
289,South Africa,Direct Drop,DDP,Truck,60,4,56,14,0.23,3622,10181,France,8670
290,South Africa,Direct Drop,DDP,Truck,200,6,78,13,0.07,3622,10181,France,8670
291,Haiti,Direct Drop,CIP,Air,100,28,9800,350,3.5,3622,10181,Thailand,16167
292,Vietnam,Direct Drop,EXW,Air,60,15960,38304,2,0.04,755,6609,India,3157
293,Vietnam,Direct Drop,EXW,Air,30,5040,62294,12,0.41,301,4883, Nashik,3641
294,Tanzania,Direct Drop,CIP,Air,240,132,1990,15,0.06,65,633,Canada,13251
295,South Africa,Direct Drop,DDP,Truck,30,30,1171,39,1.3,3622,10181, Port Elizabeth,573
