country,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
4,0,0,30,25000,1260000,50,1.68,2067,6933,0,4754
2,3,0,100,2100,10500,5,0.05,187,903,9,14446
6,2,0,90,176,3359,19,0.21,3622,9181,9,8074
6,2,0,60,5017,24583,4,0.08,3622,9181,9,8074
6,2,0,240,929,3390,3,0.02,3622,9181,9,8074
6,2,0,60,6700,36582,5,0.09,3622,9181,9,8074
6,2,0,30,1120,16307,14,0.49,3622,9181,9,8074
6,2,0,60,100,371,3,0.06,3622,9181,7,8670
6,2,0,60,1000,2920,2,0.05,3622,9181,9,8074
8,0,0,30,60,1100,18,0.61,3000,-572,7,5796
6,2,0,60,1500,15150,10,0.17,3622,9181,7,8670
5,0,0,60,7840,71344,9,0.15,719,-147,9,5921
6,2,3,90,6,43,7,0.08,3622,9181,7,8670
6,2,3,90,6,43,7,0.08,3622,9181,7,8670
6,2,3,60,76,300,3,0.07,3622,9181,7,8670
4,4,0,120,73,3000,41,0.34,69,332,8,4614
4,4,0,120,2040,83844,41,0.34,309,2777,8,4614
5,0,0,60,26932,317528,11,0.2,3393,29661,2,5355
9,3,0,30,150,1950,13,0.43,30,3111,9,3157
9,0,0,60,120,840,7,0.12,3622,9181,7,9916
6,2,3,30,20,438,21,0.73,3622,9181,7,8670
6,2,3,60,320,1475,4,0.08,3622,9181,7,8670
9,3,0,60,35000,152250,4,0.07,3622,9181,9,3157
9,3,0,60,20000,338000,16,0.28,3622,9181,9,3157
4,3,0,240,416,1809,4,0.02,3622,9181,9,7633
4,3,0,60,486,2041,4,0.07,3622,9181,9,7633
10,3,0,240,906,19071,21,0.09,316,2850,9,6906
10,3,0,60,38780,432009,11,0.19,3217,13364,9,6906
4,3,0,60,4632,16906,3,0.06,3622,9181,9,7633
4,3,0,60,166,356,2,0.04,3622,9181,9,7633
10,3,0,30,60784,1018132,16,0.56,11179,48824,9,6906
9,3,0,240,1000,5050,5,0.02,3822,24124,9,3157
9,3,0,240,1000,2440,2,0.01,3622,9181,9,3157
2,3,0,100,25,10000,400,4.0,60,498,14,16167
9,3,0,60,25000,187500,7,0.12,2336,20150,9,3157
10,0,0,60,5408,68952,12,0.21,1072,9181,7,7240
1,3,0,100,50,20000,400,4.0,120,2004,14,11529
9,3,0,30,22500,277425,12,0.41,2895,17045,9,3157
9,3,0,240,500,950,1,0.01,3622,9181,9,3157
9,0,0,60,800,5600,7,0.12,161,1514,7,9916
8,0,0,30,140,3313,23,0.79,6,9181,7,5796
9,3,0,60,400,600,1,0.02,83,1426,9,3157
1,0,0,60,546,3822,7,0.12,108,9181,7,4338
6,2,3,30,400,8416,21,0.7,3622,9181,7,8670
6,2,3,30,2500,37500,15,0.5,3622,9181,9,8074
9,3,0,60,520,13000,25,0.42,137,4260,9,3157
9,3,0,60,2576,3889,1,0.03,121,1789,9,3157
9,3,0,60,2464,3720,1,0.03,114,1879,9,3157
6,2,3,60,150,3166,21,0.35,3622,9181,9,8074
6,2,3,60,1350,6979,5,0.09,3622,9181,7,8670
9,3,0,30,2016,24917,12,0.41,120,4921,2,3641
6,2,3,30,1000,16190,16,0.54,3622,9181,9,8074
8,0,0,30,50,1183,23,0.79,2,-670,7,5796
9,3,0,60,1440,10440,7,0.12,128,1147,9,3157
6,2,3,200,60,360,6,0.03,3622,9181,4,15035
6,2,3,60,130,644,4,0.08,3622,9181,7,8670
4,0,0,30,5900,297360,50,1.68,493,727,0,4754
9,3,0,60,6156,14774,2,0.04,1044,2854,9,3157
8,0,0,30,50,917,18,0.61,2,-622,7,5796
6,2,3,60,1200,5772,4,0.08,3622,9181,7,8670
9,3,0,60,336,2520,7,0.12,18,1525,2,3641
9,3,0,60,300,3345,11,0.19,3622,9181,9,3157
2,0,0,60,80,560,7,0.12,3622,9181,7,7294
2,4,0,120,1470,60417,41,0.34,362,1490,8,7877
6,2,0,60,1000,3970,3,0.07,3622,9181,7,8670
6,2,0,60,3675,9371,2,0.04,3622,9181,9,8074
6,2,0,90,824,15515,18,0.21,3622,9181,9,8074
6,2,0,60,10000,56800,5,0.09,3622,9181,12,0
6,2,0,200,3000,5970,1,0.01,3622,9181,9,8074
6,2,0,60,1977,23091,11,0.19,3622,9181,9,8074
6,2,0,30,282,4314,15,0.51,3622,9181,9,8074
6,2,0,240,30,312,10,0.04,3622,9181,8,8973
6,2,0,30,60,1095,18,0.61,3622,9181,7,8670
6,2,0,30,3500,44170,12,0.42,3622,9181,9,8074
6,2,0,90,2000,43360,21,0.24,3622,9181,9,8074
6,2,0,120,1400,49532,35,0.29,3622,9181,8,8973
6,2,0,60,1800,7110,3,0.07,3622,9181,7,8670
6,2,3,60,36,254,7,0.12,3622,9181,9,8074
5,0,0,60,54432,641753,11,0.2,7278,60925,2,5355
9,3,0,60,35616,240408,6,0.11,3479,9048,9,3157
9,3,0,30,6552,42588,6,0.22,524,3453,2,3641
9,3,0,60,15960,23142,1,0.02,1815,8931,9,3157
9,3,0,60,3500,39025,11,0.19,3622,9181,9,3157
9,0,0,60,120,840,7,0.12,3622,9181,7,9916
6,2,3,30,40,678,16,0.57,3622,9181,7,8670
6,2,3,240,30,328,10,0.05,3622,9181,9,8074
6,2,3,30,300,7440,24,0.83,3622,9181,3,573
8,3,0,60,5080,55880,11,0.18,1172,4595,9,5524
5,3,0,30,2000,42000,21,0.7,600,4714,9,5921
9,3,0,60,1500,41475,27,0.46,3622,9181,9,3157
9,4,0,120,1000,82190,82,0.68,226,1923,8,9157
1,0,0,60,1161,6548,5,0.09,3622,9181,7,4338
5,0,0,60,38784,271488,7,0.12,4124,9500,9,5921
9,4,0,120,2000,164400,82,0.68,513,4866,8,9157
9,3,0,60,800,1400,1,0.03,3622,9181,9,3157
2,4,0,60,180,1850,10,0.17,31,-90,8,7877
6,2,3,30,800,21720,27,0.9,3622,9181,7,8670
6,2,3,240,1000,6410,6,0.03,3622,9181,4,15035
9,3,0,60,408,3162,7,0.13,3622,9181,9,3157
9,3,0,60,10420,77108,7,0.12,1000,6526,9,3157
9,3,0,60,9600,71040,7,0.12,920,6265,9,3157
9,4,0,120,1520,124944,82,0.68,385,3393,8,9157
9,4,0,120,800,65760,82,0.68,208,2449,8,9157
9,3,0,60,15360,113664,7,0.12,1360,4412,9,3157
9,3,0,60,2180,6997,3,0.05,242,4881,9,3157
9,3,0,60,2016,18648,9,0.15,185,4551,9,3157
9,0,0,60,400,2800,7,0.12,81,1035,7,9916
9,3,0,30,10080,103219,10,0.34,3622,9181,2,3641
6,2,3,60,4,52,13,0.22,3622,9181,7,8670
6,2,3,30,400,9536,23,0.79,3622,9181,3,573
7,0,0,30,2597,61470,23,0.79,3622,9181,7,6771
9,3,0,60,1848,5359,2,0.05,327,2171,9,3157
5,0,0,60,18560,168896,9,0.15,1698,15414,9,5921
10,0,0,60,545,3815,7,0.12,3622,9181,7,7240
7,0,0,30,24963,1258135,50,1.68,2462,2451,0,7164
9,3,0,60,5200,15080,2,0.05,3622,9181,9,3157
7,4,0,120,10680,438948,41,0.34,2724,11620,8,6837
6,2,0,30,7000,113050,16,0.54,3622,9181,9,8074
6,2,0,60,983,4875,4,0.08,3622,9181,9,8074
6,2,0,60,1325,3339,2,0.04,3622,9181,9,8074
6,2,0,60,6800,82620,12,0.2,3622,9181,9,8074
6,2,0,30,3414,49810,14,0.49,3622,9181,9,8074
6,2,0,30,6215,102609,16,0.55,3622,9181,9,8074
6,2,0,30,500,1530,3,0.1,3622,9181,9,8074
6,2,0,30,1200,14532,12,0.4,3622,9181,9,8074
6,2,0,30,500,8820,17,0.59,3622,9181,3,573
6,2,0,30,80,2336,29,0.97,3622,9181,3,573
6,2,0,90,1,5,5,0.07,3622,9181,7,8670
6,2,0,60,300,1179,3,0.07,3622,9181,7,8670
6,2,0,240,108,610,5,0.02,3622,9181,9,8074
6,2,0,60,9620,68109,7,0.12,3622,9181,9,8074
6,2,3,30,250,5315,21,0.71,3622,9181,3,573
6,2,3,120,400,14400,36,0.3,3622,9181,8,8973
6,2,3,120,200,8396,41,0.35,3622,9181,8,8973
4,3,0,240,416,2579,6,0.03,3622,9181,9,7633
1,3,0,60,16683,65897,3,0.07,1498,19257,9,9091
1,3,0,60,9321,29361,3,0.05,3622,9181,9,9091
8,3,0,60,6349,21269,3,0.06,369,1623,9,5524
10,3,0,60,33333,120332,3,0.06,3622,9181,9,6906
9,3,0,60,98400,329640,3,0.06,4300,26923,9,3157
9,3,0,60,1700,17850,10,0.18,356,13982,9,3157
9,3,0,60,700,30835,44,0.73,3622,9181,9,3157
9,3,0,30,38300,641525,16,0.56,3622,9181,9,3157
4,3,0,100,8,3200,400,4.0,3622,9181,14,10046
11,0,0,60,54,513,9,0.16,3622,9181,7,7729
1,0,0,60,1577,14981,9,0.16,309,9181,7,4338
5,3,0,30,1400,23100,16,0.55,405,2616,9,5921
9,4,0,120,1000,82200,82,0.68,249,2120,8,9157
9,3,0,60,600,900,1,0.02,3622,9181,9,3157
6,2,3,60,3000,16350,5,0.09,3622,9181,12,0
6,2,3,60,200,978,4,0.08,3622,9181,7,8670
6,2,3,30,20,723,36,1.21,3622,9181,3,573
9,3,0,60,500,12500,25,0.42,124,4217,9,3157
9,3,0,30,2016,27538,13,0.46,122,1864,2,3641
9,3,0,60,3024,27972,9,0.15,703,9356,9,3157
9,4,0,120,1040,85488,82,0.68,251,1519,8,9157
9,3,0,60,9576,24897,2,0.04,889,6884,2,3641
6,2,3,60,4,56,14,0.23,3622,9181,7,8670
6,2,3,200,6,78,13,0.07,3622,9181,7,8670
2,0,0,100,28,9800,350,3.5,3622,9181,14,16167
9,3,0,60,15960,38304,2,0.04,755,5609,9,3157
9,3,0,30,5040,62294,12,0.41,301,3883,2,3641
7,0,0,240,132,1990,15,0.06,65,-367,4,13251
6,2,3,30,30,1171,39,1.3,3622,9181,3,573
4,3,0,1000,7,184,26,0.03,488,3404,9,7633
9,4,0,120,6,493,82,0.68,9,1709,8,9157
9,3,0,60,880,20680,23,0.39,331,1771,9,3157
9,0,0,60,280,1960,7,0.12,60,516,7,9916
6,2,3,60,350,1736,4,0.08,3622,9181,7,8670
6,2,3,30,100,1828,18,0.61,3622,9181,7,8670
9,3,0,60,6966,16718,2,0.04,1068,2894,9,3157
9,3,0,60,4200,12180,2,0.05,3622,9181,9,3157
6,2,3,60,120,2355,19,0.33,3622,9181,9,8074
1,3,0,1000,12,629,52,0.05,12,-464,9,9091
9,3,0,60,9576,13885,1,0.02,3622,9181,9,3157
5,3,0,30,3912,88020,22,0.75,1320,14022,9,5921
2,4,0,120,10,411,41,0.34,9,-193,8,7877
9,0,0,60,260,3315,12,0.21,56,1246,7,9916
6,2,0,60,5000,27450,5,0.09,3622,9181,9,8074
6,2,0,200,1320,1504,1,0.01,3622,9181,7,8670
6,2,0,200,500,1000,2,0.01,3622,9181,9,8074
6,2,0,60,10260,39193,3,0.06,3622,9181,7,8670
6,2,0,60,20213,50734,2,0.04,3622,9181,9,8074
6,2,0,60,1140,4286,3,0.06,3622,9181,7,8670
6,2,0,240,23,83,3,0.02,3622,9181,9,8074
6,2,0,200,400,440,1,0.01,3622,9181,7,8670
6,2,0,240,156,845,5,0.02,3622,9181,4,15035
6,2,0,240,44,237,5,0.02,3622,9181,4,15035
6,2,0,240,3304,18667,5,0.02,3622,9181,9,8074
6,2,0,240,1200,7248,6,0.03,3622,9181,9,8074
6,2,0,60,2775,8325,3,0.05,3622,9181,9,8074
6,2,0,240,150,1407,9,0.04,3622,9181,9,8074
6,2,0,30,6500,82030,12,0.42,3622,9181,9,8074
6,2,3,30,650,13819,21,0.71,3622,9181,3,573
6,2,3,30,2000,25040,12,0.42,3622,9181,9,8074
6,2,3,60,2000,14160,7,0.12,3622,9181,9,8074
6,2,3,200,400,832,2,0.01,3622,9181,9,8074
6,2,3,240,80,750,9,0.04,3622,9181,9,8074
6,2,3,60,24,94,3,0.07,3622,9181,7,8670
9,3,0,60,6048,8769,1,0.02,3622,9181,9,3157
9,0,0,60,120,840,7,0.12,3622,9181,7,9916
9,0,0,60,320,2240,7,0.12,3622,9181,7,9916
6,2,3,90,140,3540,25,0.28,3622,9181,9,8074
9,3,0,60,2080,8299,3,0.07,87,9657,9,3157
9,3,0,30,19000,323000,17,0.57,1520,18044,9,3157
8,3,0,60,6349,12380,1,0.03,3622,9181,9,5524
8,3,0,60,6349,21586,3,0.06,355,2181,9,5524
9,3,0,200,1000,1450,1,0.01,3622,9181,9,3157
9,3,0,60,83000,282200,3,0.06,3622,9181,9,3157
3,0,0,30,44,859,19,0.65,3622,9181,7,8017
1,0,0,60,5721,145885,25,0.42,1232,9181,7,4338
9,3,0,60,100,894,8,0.15,6,1794,9,3157
9,4,0,120,1000,82190,82,0.68,226,4294,8,9157
5,0,0,60,182,1729,9,0.16,40,-914,7,6046
9,3,0,60,1200,9300,7,0.13,249,2719,9,3157
5,3,0,30,84,0,0,0.0,3622,9181,3,3572
5,0,0,60,34576,242032,7,0.12,3656,9500,9,5921
5,0,0,60,16640,116480,7,0.12,1766,9500,9,5921
2,3,0,100,25,8750,350,3.5,60,521,14,16167
7,0,0,240,132,3300,25,0.1,3622,9181,4,13251
6,2,3,200,100,676,6,0.03,3622,9181,4,15035
9,0,0,60,400,2800,7,0.12,82,1211,7,9916
9,3,0,100,630,3458,5,0.05,48,1729,9,3157
9,3,0,30,672,9179,13,0.46,3622,9181,2,3641
9,3,0,60,648,4860,7,0.12,3622,9181,2,3641
9,3,0,60,9275,13448,1,0.02,432,6444,9,3157
6,2,3,30,1500,23790,15,0.53,3622,9181,9,8074
6,2,3,240,470,2942,6,0.03,3622,9181,4,15035
6,2,3,200,140,960,6,0.03,3622,9181,4,15035
4,3,0,1000,20,527,26,0.03,1920,19134,9,7633
5,3,0,30,6180,101970,16,0.55,2130,16331,9,5921
5,0,0,60,45168,414642,9,0.15,3953,22071,9,5921
6,2,3,30,60,2368,39,1.32,3622,9181,3,573
9,3,0,60,4200,12180,2,0.05,3622,9181,9,3157
6,2,3,60,120,2428,20,0.34,3622,9181,9,8074
6,2,3,60,240,4860,20,0.34,3622,9181,9,8074
6,2,3,200,120,176,1,0.01,3622,9181,7,8670
6,2,3,60,1500,7965,5,0.09,3622,9181,12,0
9,3,0,60,7800,22620,2,0.05,3622,9181,9,3157
6,2,3,60,1200,5772,4,0.08,3622,9181,12,0
6,2,3,60,10,123,12,0.21,3622,9181,7,8670
9,3,0,60,4032,34715,8,0.14,3622,9181,9,3157
7,4,0,120,12560,516216,41,0.34,3073,11815,8,6837
2,3,0,60,40,620,15,0.26,3622,9181,9,14446
2,3,0,30,1242,2782,2,0.07,96,448,9,14446
6,2,0,60,300,3699,12,0.21,3622,9181,9,8074
6,2,0,240,540,2030,3,0.02,3622,9181,9,8074
6,2,0,120,1500,47880,31,0.27,3622,9181,8,8973
6,2,0,30,6734,98383,14,0.49,3622,9181,9,8074
6,2,0,30,144,440,3,0.1,3622,9181,9,8074
6,2,0,30,2996,9197,3,0.1,3622,9181,9,8074
6,2,0,60,10,100,10,0.17,3622,9181,7,8670
6,2,0,200,650,741,1,0.01,3622,9181,7,8670
6,2,0,240,350,1781,5,0.02,3622,9181,4,15035
6,2,0,200,1500,3150,2,0.01,3622,9181,9,8074
6,2,0,120,2965,106680,35,0.3,3622,9181,8,8973
6,2,0,240,1900,10564,5,0.02,3622,9181,4,15035
6,2,3,60,4553,13659,3,0.05,3622,9181,9,8074
6,2,3,30,600,1890,3,0.1,3622,9181,9,8074
9,3,0,60,18000,43200,2,0.04,3622,9181,9,3157
8,0,0,30,84,1540,18,0.61,4,-610,7,5796
9,3,0,60,100,1084,10,0.18,3622,9181,9,3157
8,3,0,120,1270,26670,21,0.18,201,262,3,3989
11,0,0,60,425,10837,25,0.42,3622,9181,7,7729
9,3,0,240,500,950,1,0.01,3622,9181,9,3157
11,0,0,100,5,1750,350,3.5,3622,9181,14,8622
5,0,0,60,100000,700000,7,0.12,10303,34034,9,5921
5,0,0,30,32510,381992,11,0.39,2791,27336,9,5921
7,0,0,200,712,8964,12,0.06,3622,9181,7,6771
2,3,0,100,30,10500,350,3.5,72,1556,14,16167
9,3,0,30,10080,115718,11,0.38,772,3408,2,3641
9,3,0,60,9792,72460,7,0.12,836,4136,9,3157
9,3,0,60,3840,12326,3,0.05,3622,9181,9,3157
9,3,0,60,432,3240,7,0.12,3622,9181,2,3641
9,3,0,60,14364,37346,2,0.04,3622,9181,2,3641
6,2,3,60,100,517,5,0.09,3622,9181,7,8670
6,2,3,30,80,1968,24,0.82,3622,9181,7,8670
2,0,0,100,54,18900,350,3.5,3622,9181,14,16167
9,4,0,120,1080,88776,82,0.68,259,1985,8,9157
9,3,0,60,380,8930,23,0.39,3622,9181,9,3157
9,3,0,60,2200,25080,11,0.19,3622,9181,9,3157
2,4,0,60,20,205,10,0.17,19,-342,8,7877
6,2,3,30,1500,24300,16,0.54,3622,9181,9,8074
4,0,0,30,2000,100800,50,1.68,169,-76,0,4754
4,0,0,30,3991,201146,50,1.68,3622,9181,0,4754
7,0,0,30,2680,135072,50,1.68,3622,9181,0,7164
7,4,0,120,12500,513750,41,0.34,3088,11937,8,6837
9,3,0,60,168,1260,7,0.12,9,1793,2,3641
9,3,0,60,24480,168912,6,0.12,2165,3443,9,3157
7,4,0,120,60,2466,41,0.34,3622,9181,8,6837
5,0,0,60,22752,207043,9,0.15,2086,-147,9,5921
2,4,0,60,14,143,10,0.17,7,-190,8,7877
2,3,0,30,560,5040,9,0.3,32050,-194,2,14325
6,2,0,30,3710,60732,16,0.55,3622,9181,9,8074
6,2,0,60,25637,63323,2,0.04,3622,9181,9,8074
6,2,0,60,1200,6564,5,0.09,3622,9181,9,8074
6,2,0,60,16000,85280,5,0.09,3622,9181,9,8074
6,2,0,240,2000,10380,5,0.02,3622,9181,4,15035
6,2,0,240,1500,5445,3,0.02,3622,9181,9,8074
6,2,0,60,4023,46988,11,0.19,3622,9181,9,8074
6,2,0,60,200,2998,14,0.25,3622,9181,9,8074
6,2,0,120,200,6182,30,0.26,3622,9181,8,8973
6,2,0,200,140,833,5,0.03,3622,9181,4,15035
6,2,0,30,60,1813,30,1.01,3622,9181,3,573
6,2,0,240,30,323,10,0.04,3622,9181,8,8973
6,2,0,60,1200,6012,5,0.08,3622,9181,12,0
6,2,0,60,2160,23133,10,0.18,3622,9181,7,8670
6,2,0,60,3000,16080,5,0.09,3622,9181,12,0
6,2,0,60,6840,73256,10,0.18,3622,9181,7,8670
6,2,3,30,80,1502,18,0.63,3622,9181,7,8670
6,2,3,240,200,1208,6,0.03,3622,9181,9,8074
2,3,0,100,55,19250,350,3.5,132,2013,14,16167
4,4,0,120,159,6534,41,0.34,3622,9181,8,4614
9,3,0,60,19392,130896,6,0.11,1899,4209,9,3157
9,3,0,60,6000,14400,2,0.04,3622,9181,9,3157
9,0,0,60,80,560,7,0.12,3622,9181,7,9916
6,2,3,30,1000,17020,17,0.57,3622,9181,9,8074
6,2,3,30,260,10670,41,1.37,3622,9181,3,573
6,2,3,200,1200,2796,2,0.01,3622,9181,9,8074
4,4,0,120,5000,205500,41,0.34,1246,9490,8,4614
9,3,0,60,1000,44500,44,0.74,91,6878,9,3157
8,3,0,30,5080,85090,16,0.56,3622,9181,9,5524
10,3,0,60,38534,423874,11,0.18,3622,9181,9,6906
1,0,0,60,1389,7833,5,0.09,3622,9181,7,4338
9,3,0,60,7000,94500,13,0.22,3622,9181,9,3157
9,3,0,60,1300,10075,7,0.13,270,2850,9,3157
11,3,0,100,10,3500,350,3.5,24,-464,14,8622
5,3,0,30,3991,65851,16,0.55,1150,8898,9,5921
9,3,0,60,600,5028,8,0.14,34,1127,9,3157
5,0,0,30,48259,567043,11,0.39,4143,18088,9,5921
6,2,3,60,600,3426,5,0.1,3622,9181,7,8670
6,2,3,60,1000,4890,4,0.08,3622,9181,7,8670
9,3,0,60,360,2790,7,0.13,3622,9181,9,3157
9,3,0,100,1400,7686,5,0.05,106,1869,9,3157
9,3,0,30,10080,115718,11,0.38,772,4893,2,3641
9,3,0,30,2016,27538,13,0.46,122,1867,2,3641
9,4,0,120,1480,121656,82,0.68,370,1652,8,9157
9,3,0,30,5040,51609,10,0.34,3622,9181,2,3641
4,3,0,540,34,1547,45,0.08,159,976,13,4123
4,3,0,540,34,1547,45,0.08,3622,9181,13,4123
6,2,3,60,1000,5310,5,0.09,3622,9181,12,0
9,0,0,60,240,1680,7,0.12,52,516,7,9916
4,3,0,540,25,875,35,0.06,86,528,13,4123
9,3,0,60,1800,15498,8,0.14,3622,9181,9,3157
6,2,3,200,10,125,12,0.06,3622,9181,7,8670
9,3,0,60,6966,16718,2,0.04,3622,9181,9,3157
7,0,0,30,2357,118792,50,1.68,3622,9181,0,7164
9,3,0,60,7800,22620,2,0.05,3622,9181,9,3157
